Proteins,"Genes of polypeptide, complex, or RNA",Common-Name,Locations
G185E-4210-MONOMER,G185E-4210,probable conserved membrane protein,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-4492-MONOMER,G185E-4492,conserved hypothetical protein,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-5986-MONOMER,G185E-5986,PE family protein PE19,CCI-PERI-ACT-GP
G185E-8185-MONOMER,G185E-8185,ESX conserved component EccD2. ESX-2 type VII secretion system protein. Probable transmembrane protein.,CCI-PM-BAC-ACT-GP
G185E-7408-MONOMER,G185E-7408,probable response regulator,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-4866-MONOMER,G185E-4866,50S ribosomal protein L30,CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
G185E-7776-MONOMER,G185E-7776,mce-family protein Mce4A,CCI-CW-BAC-ACT-GP // CCI-EXTRACELLULAR-GP // CCO-MEMBRANE
G185E-5245-MONOMER,G185E-5245,conserved hypothetical protein,CCO-MEMBRANE
G185E-6363-MONOMER,G185E-6363,,CCI-CYTOSOL-GP
G185E-7042-MONOMER,G185E-7042,probable tRNA pseudouridine synthase B,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-4463-MONOMER,G185E-4463,possible transcriptional regulatory protein,CCI-CYTOSOL-GP
G185E-5628-MONOMER,G185E-5628,probable 6-phosphogluconolactonase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-8156-MONOMER,G185E-8156,probable NADH-dependent glutamate synthase (small subunit),CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-4223-MONOMER,G185E-4223,conserved hypothetical protein,CCI-CYTOSOL-GP
G185E-4837-MONOMER,G185E-4837,mycofactocin tyrosine decarboxylase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-7418-MONOMER,G185E-7418,NADH:menaquinone oxidoreductase I chain I,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-5215-MONOMER,G185E-5215,probable integrase (fragment),
G185E-6000-MONOMER,G185E-6000,hypothetical protein,CCI-CYTOSOL-GP
G185E-7013-MONOMER,G185E-7013,thymidylate synthase subunit,CCI-CYTOSOL-GP
G185E-7790-MONOMER,G185E-7790,probable fatty-acid-CoA ligase,CCI-CYTOSOL-GP
G185E-5599-MONOMER,G185E-5599,,CCI-CYTOSOL-GP
G185E-6376-MONOMER,G185E-6376,probable transposase,
G185E-4194-MONOMER,G185E-4194,hypothetical protein,
G185E-4476-MONOMER,G185E-4476,probable chaperone protein,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-5969-MONOMER,G185E-5969,probable transcriptional regulatory protein,CCI-CYTOSOL-GP
G185E-8169-MONOMER,G185E-8169,ESX conserved component EccCb1. ESX-1 type VII secretion system protein.,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-7391-MONOMER,G185E-7391,conserved protein,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-4850-MONOMER,G185E-4850,50S ribosomal protein L22,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
G185E-7760-MONOMER,G185E-7760,possible exported protein,CCO-MEMBRANE
G185E-5229-MONOMER,G185E-5229,PE-PGRS family protein PE_PGRS19,CCI-EXTRACELLULAR-GP
G185E-6346-MONOMER,G185E-6346,conserved protein,CCI-PERI-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-7026-MONOMER,G185E-7026,conserved hypothetical protein,CCI-CYTOSOL-GP
G185E-4447-MONOMER,G185E-4447,conserved hypothetical protein,
G185E-5612-MONOMER,G185E-5612,conserved protein,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-8143-MONOMER,G185E-8143,hypothetical protein,CCI-PM-BAC-ACT-GP
G185E-4207-MONOMER,G185E-4207,possible membrane protein,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-4821-MONOMER,G185E-4821,HTH-type transcriptional regulator MmpR5,
G185E-5983-MONOMER,G185E-5983,PE family protein PE18,CCI-PERI-ACT-GP
G185E-5198-MONOMER,G185E-5198,ESAT-6 like protein,CCI-CW-BAC-ACT-GP // CCI-EXTRACELLULAR-GP // CCI-PM-BAC-ACT-GP
G185E-7405-MONOMER,G185E-7405,probable acyl-CoA dehydrogenase,CCI-CYTOSOL-GP // CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-6997-MONOMER,G185E-6997,possible cell division transmembrane protein,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-EXTRACELLULAR-GP
G185E-7773-MONOMER,G185E-7773,mce-family protein Mce4D,CCI-CW-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-5583-MONOMER,G185E-5583,probable lipase LipH,CCI-CYTOSOL-GP
G185E-6360-MONOMER,G185E-6360,,CCI-CYTOSOL-GP
G185E-4178-MONOMER,G185E-4178,probable conserved transmembrane protein,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-4460-MONOMER,G185E-4460,conserved 13E12 repeat family protein,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-5953-MONOMER,G185E-5953,probable cutinase,CCI-EXTRACELLULAR-GP
G185E-8153-MONOMER,G185E-8153,transcriptional regulatory repressor protein (TetR-family),CCI-CYTOSOL-GP
G185E-7375-MONOMER,G185E-7375,cyclic pyranopterin monophosphate synthase 1,CCI-CYTOSOL-GP // CCI-EXTRACELLULAR-GP
G185E-4834-MONOMER,G185E-4834,probable transcriptional regulatory protein,CCI-CYTOSOL-GP
G185E-7744-MONOMER,G185E-7744,conserved hypothetical protein,
G185E-5211-MONOMER,G185E-5211,conserved hypothetical protein,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-6330-MONOMER,G185E-6330,5-methyltetrahydrofolate-homocysteine methyltransferase,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-7010-MONOMER,G185E-7010,possible type I restriction/modification system specificity determinant,
G185E-8125-MONOMER,G185E-8125,probable dehydrogenase,CCI-CYTOSOL-GP
G185E-5596-MONOMER,G185E-5596,conserved hypothetical protein,
G185E-4805-MONOMER,G185E-4805,possible antitoxin,CCI-PM-BAC-ACT-GP
G185E-4191-MONOMER,G185E-4191,probable membrane protein,CCI-PM-BAC-ACT-GP
G185E-5182-MONOMER,G185E-5182,probable enolase Eno,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-5966-MONOMER,G185E-5966,conserved protein,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-6981-MONOMER,G185E-6981,"conserved hypothetical alanine, arginine-rich protein",CCI-CYTOSOL-GP
G185E-7388-MONOMER,G185E-7388,transcriptional regulatory protein,
G185E-5567-MONOMER,G185E-5567,probable carbamoyl-phosphate synthase large chain,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-7757-MONOMER,G185E-7757,possible triacylglycerol synthase,CCI-PM-BAC-ACT-GP // CCI-CW-BAC-ACT-GP
G185E-4162-MONOMER,G185E-4162,possible membrane protein,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-6343-MONOMER,G185E-6343,conserved hypothetical protein,
G185E-5937-MONOMER,G185E-5937,unknown protein,CCI-CW-BAC-ACT-GP
G185E-4444-MONOMER,G185E-4444,possible conserved exported protein,
G185E-7358-MONOMER,G185E-7358,conserved hypothetical protein,
G185E-8138-MONOMER,G185E-8138,probable glycerophosphoryl diester phosphodiesterase,CCI-CYTOSOL-GP
G185E-7728-MONOMER,G185E-7728,probable cutinase precursor,CCI-EXTRACELLULAR-GP
G185E-4818-MONOMER,G185E-4818,probable enoyl-CoA hydratase,CCI-CYTOSOL-GP
G185E-6313-MONOMER,G185E-6313,PE family protein PE22,
G185E-5195-MONOMER,G185E-5195,probable transposase (fragment),CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-8109-MONOMER,G185E-8109,conserved protein,CCI-CYTOSOL-GP
G185E-6994-MONOMER,G185E-6994,transcriptional regulatory protein,
G185E-4789-MONOMER,G185E-4789,probable lipase/esterase,CCI-PM-BAC-ACT-GP
G185E-5580-MONOMER,G185E-5580,possible toxin,CCI-PM-BAC-ACT-GP
G185E-5168-MONOMER,G185E-5168,probable dimethyladenosine transferase,CCI-CYTOSOL-GP
G185E-4175-MONOMER,G185E-4175,hypothetical protein,CCI-PERI-ACT-GP
G185E-6965-MONOMER,G185E-6965,UPF0678 fatty acid-binding protein-like protein Rv2717c,CCI-CYTOSOL-GP
G185E-5950-MONOMER,G185E-5950,probable phospholipase C 4 (fragment),CCI-EXTRACELLULAR-GP // CCI-CW-BAC-ACT-GP
G185E-5550-MONOMER,G185E-5550,probable conserved lipoprotein,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-7372-MONOMER,G185E-7372,hypothetical protein,
