,name,genes,source
G185E-4210-MONOMER,probable conserved membrane protein,Rv0093c(),BioCyc
G185E-4492-MONOMER,conserved hypothetical protein,Rv0368c(),BioCyc
G185E-5986-MONOMER,PE family protein PE19,Rv1791(),BioCyc
G185E-8185-MONOMER,ESX conserved component EccD2. ESX-2 type VII secretion system protein. Probable transmembrane protein.,Rv3887c(),BioCyc
G185E-7408-MONOMER,probable response regulator,Rv3143(),BioCyc
G185E-4866-MONOMER,50S ribosomal protein L30,Rv0722(1),BioCyc
G185E-7776-MONOMER,mce-family protein Mce4A,Rv3499c(),BioCyc
G185E-5245-MONOMER,conserved hypothetical protein,Rv1083(),BioCyc
G185E-6363-MONOMER,,Rv2155c(1),BioCyc
G185E-7042-MONOMER,probable tRNA pseudouridine synthase B,Rv2793c(1),BioCyc
G185E-4463-MONOMER,possible transcriptional regulatory protein,Rv0339c(),BioCyc
G185E-5628-MONOMER,probable 6-phosphogluconolactonase,Rv1445c(),BioCyc
G185E-8156-MONOMER,probable NADH-dependent glutamate synthase (small subunit),Rv3858c(),BioCyc
G185E-4223-MONOMER,conserved hypothetical protein,Rv0106(),BioCyc
G185E-4837-MONOMER,mycofactocin tyrosine decarboxylase,Rv0693(),BioCyc
G185E-7418-MONOMER,NADH:menaquinone oxidoreductase I chain I,Rv3153(),BioCyc
G185E-5215-MONOMER,probable integrase (fragment),Rv1054(),BioCyc
G185E-6000-MONOMER,hypothetical protein,Rv1805c(),BioCyc
G185E-7013-MONOMER,thymidylate synthase subunit,Rv2764c(2),BioCyc
G185E-7790-MONOMER,probable fatty-acid-CoA ligase,Rv3513c(),BioCyc
G185E-5599-MONOMER,,Rv1416(60),BioCyc
G185E-6376-MONOMER,probable transposase,Rv2167c(),BioCyc
G185E-4194-MONOMER,hypothetical protein,Rv0078A(),BioCyc
G185E-4476-MONOMER,probable chaperone protein,Rv0352(2),BioCyc
G185E-5969-MONOMER,probable transcriptional regulatory protein,Rv1773c(),BioCyc
G185E-8169-MONOMER,ESX conserved component EccCb1. ESX-1 type VII secretion system protein.,Rv3871(),BioCyc
G185E-7391-MONOMER,conserved protein,Rv3127(),BioCyc
G185E-4850-MONOMER,50S ribosomal protein L22,Rv0706(1),BioCyc
G185E-7760-MONOMER,possible exported protein,Rv3483c(),BioCyc
G185E-5229-MONOMER,PE-PGRS family protein PE_PGRS19,Rv1067c(),BioCyc
G185E-6346-MONOMER,conserved protein,Rv2140c(),BioCyc
G185E-7026-MONOMER,conserved hypothetical protein,Rv2777c(),BioCyc
G185E-4447-MONOMER,conserved hypothetical protein,Rv0323c(),BioCyc
G185E-5612-MONOMER,conserved protein,Rv1429(),BioCyc
G185E-8143-MONOMER,hypothetical protein,Rv3845(),BioCyc
G185E-4207-MONOMER,possible membrane protein,Rv0090(),BioCyc
G185E-4821-MONOMER,HTH-type transcriptional regulator MmpR5,Rv0678(),BioCyc
G185E-5983-MONOMER,PE family protein PE18,Rv1788(),BioCyc
G185E-5198-MONOMER,ESAT-6 like protein,Rv1038c(),BioCyc
G185E-7405-MONOMER,probable acyl-CoA dehydrogenase,Rv3140(),BioCyc
G185E-6997-MONOMER,possible cell division transmembrane protein,Rv2748c(),BioCyc
G185E-7773-MONOMER,mce-family protein Mce4D,Rv3496c(),BioCyc
G185E-5583-MONOMER,probable lipase LipH,Rv1400c(),BioCyc
G185E-6360-MONOMER,,Rv2152c(1),BioCyc
G185E-4178-MONOMER,probable conserved transmembrane protein,Rv0064(),BioCyc
G185E-4460-MONOMER,conserved 13E12 repeat family protein,Rv0336(),BioCyc
G185E-5953-MONOMER,probable cutinase,Rv1758(),BioCyc
G185E-8153-MONOMER,transcriptional regulatory repressor protein (TetR-family),Rv3855(),BioCyc
G185E-7375-MONOMER,cyclic pyranopterin monophosphate synthase 1,Rv3111(),BioCyc
G185E-4834-MONOMER,probable transcriptional regulatory protein,Rv0691c(),BioCyc
G185E-7744-MONOMER,conserved hypothetical protein,Rv3467(),BioCyc
G185E-5211-MONOMER,conserved hypothetical protein,Rv1051c(),BioCyc
G185E-6330-MONOMER,5-methyltetrahydrofolate-homocysteine methyltransferase,Rv2124c(1),BioCyc
G185E-7010-MONOMER,possible type I restriction/modification system specificity determinant,Rv2761c(),BioCyc
G185E-8125-MONOMER,probable dehydrogenase,Rv3829c(),BioCyc
G185E-5596-MONOMER,conserved hypothetical protein,Rv1413(),BioCyc
G185E-4805-MONOMER,possible antitoxin,Rv0662c(),BioCyc
G185E-4191-MONOMER,probable membrane protein,Rv0076c(),BioCyc
G185E-5182-MONOMER,probable enolase Eno,Rv1023(2),BioCyc
G185E-5966-MONOMER,conserved protein,Rv1770(),BioCyc
G185E-6981-MONOMER,"conserved hypothetical alanine, arginine-rich protein",Rv2733c(1),BioCyc
G185E-7388-MONOMER,transcriptional regulatory protein,Rv3124(),BioCyc
G185E-5567-MONOMER,probable carbamoyl-phosphate synthase large chain,Rv1384(),BioCyc
G185E-7757-MONOMER,possible triacylglycerol synthase,Rv3480c(),BioCyc
G185E-4162-MONOMER,possible membrane protein,Rv0048c(),BioCyc
G185E-6343-MONOMER,conserved hypothetical protein,Rv2137c(),BioCyc
G185E-5937-MONOMER,unknown protein,Rv1742(),BioCyc
G185E-4444-MONOMER,possible conserved exported protein,Rv0320(),BioCyc
G185E-7358-MONOMER,conserved hypothetical protein,Rv3096(),BioCyc
G185E-8138-MONOMER,probable glycerophosphoryl diester phosphodiesterase,Rv3842c(1),BioCyc
G185E-7728-MONOMER,probable cutinase precursor,Rv3451(),BioCyc
G185E-4818-MONOMER,probable enoyl-CoA hydratase,Rv0675(),BioCyc
G185E-6313-MONOMER,PE family protein PE22,Rv2107(),BioCyc
G185E-5195-MONOMER,probable transposase (fragment),Rv1035c(),BioCyc
G185E-8109-MONOMER,conserved protein,Rv3813c(),BioCyc
G185E-6994-MONOMER,transcriptional regulatory protein,Rv2745c(),BioCyc
G185E-4789-MONOMER,probable lipase/esterase,Rv0646c(),BioCyc
G185E-5580-MONOMER,possible toxin,Rv1397c(),BioCyc
G185E-5168-MONOMER,probable dimethyladenosine transferase,Rv1010(1),BioCyc
G185E-4175-MONOMER,hypothetical protein,Rv0061c(),BioCyc
G185E-6965-MONOMER,UPF0678 fatty acid-binding protein-like protein Rv2717c,Rv2717c(),BioCyc
G185E-5950-MONOMER,probable phospholipase C 4 (fragment),Rv1755c(),BioCyc
G185E-5550-MONOMER,probable conserved lipoprotein,Rv1368(),BioCyc
G185E-7372-MONOMER,hypothetical protein,Rv3108(),BioCyc
G185E-4146-MONOMER,possible 8-amino-7-oxononanoate synthase,Rv0032(2),BioCyc
G185E-7741-MONOMER,"dTDP-glucose 4,6-dehydratase",Rv3464(1),BioCyc
G185E-7342-MONOMER,serine/threonine-protein kinase transcriptional regulatory protein,Rv3080c(),BioCyc
G185E-6327-MONOMER,ATP phosphoribosyltransferase,Rv2121c(2),BioCyc
G185E-5923-MONOMER,possible S-adenosylmethionine-dependent methyltransferase,Rv1729c(),BioCyc
G185E-8122-MONOMER,long-chain fatty acid adenylyltransferase,Rv3826(),BioCyc
G185E-7712-MONOMER,probable conserved transmembrane protein,Rv3435c(),BioCyc
G185E-4802-MONOMER,toxin,Rv0659c(),BioCyc
