,name,genes,source
B488_RS02235-MONOMER,DNA topoisomerase IV subunit B,B488_RS02235(),BioCyc
B488_RS02680-MONOMER,hypothetical protein,B488_RS02680(),BioCyc
B488_RS05435-MONOMER,CDP-diacylglycerol--serine O-phosphatidyltransferase,B488_RS05435(),BioCyc
B488_RS00265-MONOMER,DNA replication/repair protein RecF,B488_RS00265(),BioCyc
B488_RS05920-MONOMER,fructose-bisphosphate aldolase class I,B488_RS05920(),BioCyc
B488_RS05730-MONOMER,F0F1 ATP synthase subunit gamma,B488_RS05730(),BioCyc
B488_RS03230-MONOMER,Flp family type IVb pilin,B488_RS03230(),BioCyc
CPLX27KH-6,pyruvate dehydrogenase,B488_RS05355() AND B488_RS05360(),BioCyc
B488_RS03785-MONOMER,hypothetical protein,B488_RS03785(),BioCyc
B488_RS04570-MONOMER,flagellin protein FlaA,B488_RS04570(),BioCyc
B488_RS00640-MONOMER,glucan ABC transporter ATP-binding protein/ permease,B488_RS00640(),BioCyc
B488_RS04920-MONOMER,metal ABC transporter substrate-binding protein,B488_RS04920(),BioCyc
B488_RS06820-MONOMER,calcium-binding protein,B488_RS06820(),BioCyc
B488_RS06845-MONOMER,hypothetical protein,B488_RS06845(),BioCyc
B488_RS01665-MONOMER,ribosome silencing factor,B488_RS01665(),BioCyc
B488_RS06635-MONOMER,response regulator transcription factor,B488_RS06635(),BioCyc
B488_RS01955-MONOMER,aspartate 1-decarboxylase,B488_RS01955(1),BioCyc
B488_RS02240-MONOMER,triose-phosphate isomerase,B488_RS02240(2),BioCyc
B488_RS01225-MONOMER,SufE family protein,B488_RS01225(),BioCyc
B488_RS05225-MONOMER,phosphoribosylformylglycinamidine cyclo-ligase,B488_RS05225(2),BioCyc
B488_RS02700-MONOMER,hypothetical protein,B488_RS02700(),BioCyc
B488_RS05440-MONOMER,pilus assembly protein,B488_RS05440(),BioCyc
B488_RS00270-MONOMER,prephenate dehydratase,B488_RS00270(2),BioCyc
B488_RS06850-MONOMER,MFS transporter,B488_RS06850(),BioCyc
B488_RS06875-MONOMER,YdaU family protein,B488_RS06875(),BioCyc
B488_RS06085-MONOMER,hypothetical protein,B488_RS06085(),BioCyc
B488_RS04575-MONOMER,acyl-CoA dehydrogenase,B488_RS04575(),BioCyc
B488_RS00645-MONOMER,glycosyltransferase family 4 protein,B488_RS00645(),BioCyc
B488_RS04925-MONOMER,ATP-binding cassette domain-containing protein,B488_RS04925(),BioCyc
B488_RS01230-MONOMER,anion transporter,B488_RS01230(),BioCyc
B488_RS06825-MONOMER,hypothetical protein,B488_RS06825(),BioCyc
B488_RS03240-MONOMER,isocitrate/isopropylmalate dehydrogenase family protein,B488_RS03240(1),BioCyc
B488_RS03795-MONOMER,AAA family ATPase,B488_RS03795(),BioCyc
B488_RS01670-MONOMER,peptidoglycan DD-metalloendopeptidase family protein,B488_RS01670(),BioCyc
B488_RS00650-MONOMER,transcription elongation factor GreA,B488_RS00650(1),BioCyc
B488_RS06645-MONOMER,hypothetical protein,B488_RS06645(),BioCyc
B488_RS01960-MONOMER,FAD-dependent oxidoreductase,B488_RS01960(),BioCyc
B488_RS02245-MONOMER,preprotein translocase subunit SecG,B488_RS02245(),BioCyc
B488_RS01240-MONOMER,hypothetical protein,B488_RS01240(),BioCyc
B488_RS02715-MONOMER,phosphatidylcholine/phosphatidylserine synthase,B488_RS02715(),BioCyc
B488_RS05230-MONOMER,phosphoribosylglycinamide formyltransferase,B488_RS05230(1),BioCyc
B488_RS05445-MONOMER,cell division ATP-binding protein FtsE,B488_RS05445(),BioCyc
B488_RS00275-MONOMER,3-deoxy-manno-octulosonate cytidylyltransferase,B488_RS00275(1),BioCyc
B488_RS05925-MONOMER,phosphoglycerate kinase,B488_RS05925(1),BioCyc
B488_RS05735-MONOMER,F0F1 ATP synthase subunit alpha,B488_RS05735(),BioCyc
B488_RS03245-MONOMER,hypothetical protein,B488_RS03245(),BioCyc
B488_RS06340-MONOMER,signal peptide peptidase SppA,B488_RS06340(),BioCyc
B488_RS03800-MONOMER,VWA domain-containing protein,B488_RS03800(),BioCyc
B488_RS00655-MONOMER,carbamoyl-phosphate synthase large subunit,B488_RS00655(),BioCyc
B488_RS04585-MONOMER,amidohydrolase family protein,B488_RS04585(4),BioCyc
B488_RS06230-MONOMER,type II secretion system F family protein,B488_RS06230(),BioCyc
B488_RS04930-MONOMER,iron chelate uptake ABC transporter family permease subunit,B488_RS04930(),BioCyc
B488_RS01250-MONOMER,hypothetical protein,B488_RS01250(),BioCyc
B488_RS02720-MONOMER,FAD-binding protein,B488_RS02720(1),BioCyc
B488_RS03250-MONOMER,hypothetical protein,B488_RS03250(),BioCyc
B488_RS03805-MONOMER,ABC transporter ATP-binding protein,B488_RS03805(),BioCyc
B488_RS01675-MONOMER,S41 family peptidase,B488_RS01675(),BioCyc
B488_RS00660-MONOMER,phosphatase PAP2 family protein,B488_RS00660(),BioCyc
B488_RS06650-MONOMER,PTS sugar transporter subunit IIA,B488_RS06650(),BioCyc
B488_RS01965-MONOMER,Indoleacetamide hydrolase,B488_RS01965(),BioCyc
B488_RS02250-MONOMER,CTP synthase,B488_RS02250(4),BioCyc
B488_RS01255-MONOMER,bifunctional riboflavin kinase/FAD synthetase,B488_RS01255(1),BioCyc
B488_RS02725-MONOMER,sugar MFS transporter,B488_RS02725(1),BioCyc
B488_RS05450-MONOMER,ABC transporter permease,B488_RS05450(),BioCyc
