,name,genes,source
STM0171-MONOMER,carbonate dehydratase,STM0171(4),BioCyc
STM4276-MONOMER,entericidin B precursor,STM4276(),BioCyc
STM3433-MONOMER,50S ribosomal protein L16,STM3433(1),BioCyc
STM1969-MONOMER,flagellar M-ring protein,STM1969(),BioCyc
STM2345-MONOMER,LacI family transcriptional regulator,STM2345(),BioCyc
STM3800-MONOMER,LysR family transcriptional activator,STM3800(),BioCyc
STM3106-MONOMER,L-asparaginase II,STM3106(4),BioCyc
STM2730-MONOMER,Fels-2 prophage protein,STM2730(),BioCyc
STM1149-MONOMER,membrane protein,STM1149(),BioCyc
STM0825-MONOMER,putative DnaK suppressor protein,STM0825(),BioCyc
STM3487-MONOMER,shikimate kinase I,STM3487(1),BioCyc
STM1525-MONOMER,putative glutaminase,STM1525(2),BioCyc
STM3855-MONOMER,phosphate ABC transporter permease,STM3855(),BioCyc
STM1203-MONOMER,PTS glucose transporter subunit IIBC,STM1203(),BioCyc
STM0102-MONOMER,L-arabinose isomerase,STM0102(6),BioCyc
STM1579-MONOMER,nitrate reductase molybdenum cofactor assembly chaperone,STM1579(1),BioCyc
STM0155-MONOMER,putative outer membrane protein,STM0155(),BioCyc
STM4207-MONOMER,baseplate protein,STM4207(),BioCyc
STM4260-MONOMER,cation transporter,STM4260(),BioCyc
STM1953-MONOMER,D-cysteine desulfhydrase,STM1953(2),BioCyc
STM4580-MONOMER,trifunctional nicotinamide-nucleotide adenylyltransferase/ribosylnicotinamide kinase/transcriptional regulator,STM4580(1),BioCyc
STM2329-MONOMER,putative cytoplasmic protein,STM2329(),BioCyc
STM3090-MONOMER,methionine adenosyltransferase,STM3090(4),BioCyc
STM1896-MONOMER,putative cytoplasmic protein,STM1896(),BioCyc
STM2713-MONOMER,Fels-2 prophage protein,STM2713(),BioCyc
STM0808-MONOMER,putative integral membrane protein,STM0808(),BioCyc
STM0483-MONOMER,adenine phosphoribosyltransferase,STM0483(2),BioCyc
STM3471-MONOMER,DUF2559 domain-containing protein,STM3471(),BioCyc
STM3838-MONOMER,chromosomal replication initiation protein,STM3838(),BioCyc
STM2276-MONOMER,2-octaprenyl-6-hydroxy phenol methylase,STM2276(2),BioCyc
STM1187-MONOMER,23S rRNA pseudouridine(955/2504/2580) synthase,STM1187(1),BioCyc
STM1563-MONOMER,OsmC family peroxiredoxin,STM1563(),BioCyc
STM3035-MONOMER,putative periplasmic protein,STM3035(),BioCyc
STM0139-MONOMER,cell division protein,STM0139(),BioCyc
STM4244-MONOMER,phage shock protein G,STM4244(),BioCyc
STM2653-MONOMER,putative outer membrane lipoprotein,STM2653(),BioCyc
STM1934-MONOMER,putative outer membrane lipoprotein,STM1934(),BioCyc
STM0520-MONOMER,MFS transporter,STM0520(),BioCyc
STM0747-MONOMER,cell envelope integrity protein,STM0747(),BioCyc
STM2313-MONOMER,ribonuclease Z,STM2313(2),BioCyc
STM3074-MONOMER,cobalt ABC transporter ATP-binding protein,STM3074(),BioCyc
STM3417-MONOMER,30S ribosomal protein S11,STM3417(1),BioCyc
STM2697-MONOMER,Fels-2 prophage protein,STM2697(),BioCyc
STM0791-MONOMER,histidine ammonia-lyase,STM0791(),BioCyc
STM3787-MONOMER,hexose phosphate transporter,STM3787(1),BioCyc
STM3454-MONOMER,lysis protein,STM3454(),BioCyc
STM3822-MONOMER,trimethylamine N-oxide reductase I catalytic subunit,STM3822(),BioCyc
STM1132-MONOMER,putative sugar transport protein,STM1132(),BioCyc
STM1170-MONOMER,putative virulence factor,STM1170(),BioCyc
STM1546-MONOMER,putative monooxygenase,STM1546(1),BioCyc
STM1509-MONOMER,selenoprotein,STM1509(),BioCyc
STM0123-MONOMER,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase",STM0123(1),BioCyc
STM4228-MONOMER,maltose ABC transporter permease,STM4228(),BioCyc
STM0086-MONOMER,glutathione-regulated potassium-efflux system protein,STM0086(2),BioCyc
STM1917-MONOMER,chemotaxis response regulator protein-glutamate methylesterase,STM1917(),BioCyc
STM0504-MONOMER,co-chaperone,STM0504(),BioCyc
STM4191-MONOMER,putative cytoplasmic protein,STM4191(),BioCyc
STM2297-MONOMER,putative DegT/DnrJ/EryC1/StrS family,STM2297(1),BioCyc
STM3058-MONOMER,Xaa-Pro aminopeptidase,STM3058(),BioCyc
STM4564-MONOMER,metal-dependent hydrolase,STM4564(),BioCyc
STM2679-MONOMER,magnesium/cobalt efflux protein,STM2679(),BioCyc
STM0774-MONOMER,galactokinase,STM0774(1),BioCyc
STM1880-MONOMER,putative inner membrane protein,STM1880(),BioCyc
STM3438-MONOMER,50S ribosomal protein L23,STM3438(1),BioCyc
STM3805-MONOMER,putative inner membrane protein,STM3805(),BioCyc
STM0466-MONOMER,putative methyltransferase,STM0466(),BioCyc
STM1154-MONOMER,multidrug resistance protein,STM1154(),BioCyc
STM1530-MONOMER,phosphoporin,STM1530(),BioCyc
STM2259-MONOMER,nitrate reductase catalytic subunit,STM2259(),BioCyc
STM0107-MONOMER,thiamine/thiamine pyrophosphate ABC transporter permease,STM0107(),BioCyc
STM4212-MONOMER,phage major tail tube protein,STM4212(),BioCyc
STM3019-MONOMER,putative acetyl-CoA acetyltransferase,STM3019(),BioCyc
STM4585-MONOMER,phosphoglycerate mutase,STM4585(1),BioCyc
STM1901-MONOMER,aspartate--tRNA ligase,STM1901(2),BioCyc
STM2636-MONOMER,Gifsy-1 prophage protein,STM2636(),BioCyc
STM0488-MONOMER,adenylate kinase,STM0488(1),BioCyc
STM2281-MONOMER,putative LysR family transcriptional regulator,STM2281(),BioCyc
STM0731-MONOMER,putative inner membrane protein,STM0731(),BioCyc
STM3041-MONOMER,peptide chain release factor RF-2,STM3041(1),BioCyc
STM2662-MONOMER,23S rRNA pseudouridine(1911/1915/1917) synthase,STM2662(1),BioCyc
STM3401-MONOMER,shikimate dehydrogenase,STM3401(1),BioCyc
STM0757-MONOMER,nicotinamide riboside transporter,STM0757(1),BioCyc
STM3422-MONOMER,50S ribosomal protein L30,STM3422(1),BioCyc
STM3771-MONOMER,PTS sugar transporter subunit IIB,STM3771(),BioCyc
STM3792-MONOMER,L-fucose:H+ symporter permease,STM3792(1),BioCyc
STM1138-MONOMER,putative inner membrane protein,STM1138(),BioCyc
STM1115-MONOMER,disulfide bond formation protein,STM1115(),BioCyc
STM1514-MONOMER,competence protein,STM1514(),BioCyc
STM0091-MONOMER,4-hydroxythreonine-4-phosphate dehydrogenase,STM0091(2),BioCyc
STM1493-MONOMER,glycine/betaine ABC transporter substrate-binding protein,STM1493(),BioCyc
STM4196-MONOMER,putative cytoplasmic protein,STM4196(),BioCyc
STM4569-MONOMER,phosphopentomutase,STM4569(1),BioCyc
STM0070-MONOMER,carnitinyl-CoA dehydratase,STM0070(1),BioCyc
STM1885-MONOMER,phosphogluconate dehydratase,STM1885(1),BioCyc
STM0472-MONOMER,maltose O-acetyltransferase,STM0472(2),BioCyc
STM4171-MONOMER,74% identity over 170 of 231 amino acids with E. coli hypothetical 26.3 kD protein in hupa-hydh intergenic region (Yjah) (SW:P32681),STM4171(),BioCyc
STM2264-MONOMER,alpha-ketoglutarate-dependent dioxygenase,STM2264(),BioCyc
STM3024-MONOMER,nickel/cobalt efflux protein,STM3024(),BioCyc
STM4545-MONOMER,hypothetical protein,STM4545(),BioCyc
STM2641-MONOMER,L-aspartate oxidase,STM2641(1),BioCyc
STM0736-MONOMER,"2-oxoglutarate decarboxylase, thiamine requiring, subunit",STM0736(),BioCyc
STM1865-MONOMER,putative cytoplasmic protein,STM1865(),BioCyc
STM3406-MONOMER,peptide deformylase,STM3406(1),BioCyc
STM3776-MONOMER,Purine ribonucleoside efflux pump,STM3776(),BioCyc
STM0450-MONOMER,endopeptidase La,STM0450(),BioCyc
STM1121-MONOMER,stress-induced protein,STM1121(),BioCyc
STM1498-MONOMER,dimethyl sulfoxide reductase subunit A,STM1498(),BioCyc
STM2243-MONOMER,phage tail protein,STM2243(),BioCyc
