Proteins	Common-Name	Locations	Genes of polypeptide, complex, or RNA
SYNPCC7942_1907-MONOMER	magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase		SYNPCC7942_1907
SYNPCC7942_2169-MONOMER	conserved hypothetical protein		SYNPCC7942_2169
SYNPCC7942_0782-MONOMER	ATPase	CCO-MEMBRANE	SYNPCC7942_0782
SYNPCC7942_2537-MONOMER	ClpP3	CCI-CYTOSOL-GN	SYNPCC7942_2537
SYNPCC7942_1156-MONOMER	conserved hypothetical protein		SYNPCC7942_1156
SYNPCC7942_0032-MONOMER	conserved hypothetical protein		SYNPCC7942_0032
SYNPCC7942_1522-MONOMER	DNA-directed RNA polymerase, beta subunit		SYNPCC7942_1522
SYNPCC7942_0401-MONOMER	Diacylglycerol kinase	CCI-PM-BAC-NEG-GN	SYNPCC7942_0401
SYNPCC7942_1891-MONOMER	LabA (low-amplitude and bright) protein		SYNPCC7942_1891
SYNPCC7942_2153-MONOMER	hypothetical protein		SYNPCC7942_2153
SYNPCC7942_0766-MONOMER	DNA-damage-inducible protein		SYNPCC7942_0766
SYNPCC7942_2521-MONOMER	Nucleotide binding protein, PINc		SYNPCC7942_2521
SYNPCC7942_1140-MONOMER	conserved hypothetical protein		SYNPCC7942_1140
SYNPCC7942_0016-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0016
SYNPCC7942_1506-MONOMER	conserved hypothetical protein		SYNPCC7942_1506
SYNPCC7942_0385-MONOMER	geranylgeranyl reductase		SYNPCC7942_0385
SYNPCC7942_1875-MONOMER	conserved hypothetical protein		SYNPCC7942_1875
SYNPCC7942_2137-MONOMER	Magnesium-chelatase, subunit H		SYNPCC7942_2137
SYNPCC7942_0750-MONOMER	phage tail tape measure protein TP901, core region	CCO-MEMBRANE	SYNPCC7942_0750
SYNPCC7942_2505-MONOMER	Caffeoyl-CoA O-methyltransferase		SYNPCC7942_2505
SYNPCC7942_1124-MONOMER	Exoribonuclease II		SYNPCC7942_1124
NTCA	NtcA global nitrogen regulator		SYNPCC7942_0127
SYNPCC7942_1489-MONOMER	bicarbonatee transport permease		SYNPCC7942_1489
SYNPCC7942_0369-MONOMER	putative flavin-containing monoamine oxidase	CCO-MEMBRANE	SYNPCC7942_0369
SYNPCC7942_1859-MONOMER	diguanylate cyclase/phosphodiesterase (GGDEF &amp; EAL domains) with PAS/PAC sensor(s)		SYNPCC7942_1859
SYNPCC7942_2121-MONOMER	Anti-sigma F factor antagonist		SYNPCC7942_2121
SYNPCC7942_0734-MONOMER	conserved hypothetical protein		SYNPCC7942_0734
SYNPCC7942_2489-MONOMER	conserved hypothetical protein		SYNPCC7942_2489
SYNPCC7942_1108-MONOMER	Histone-like DNA-binding protein		SYNPCC7942_1108
HTX97_RS00020-MONOMER	hypothetical protein		HTX97_RS00020
SYNPCC7942_1473-MONOMER	putative multicomponent Na+:H+ antiporter subunit D	CCO-MEMBRANE	SYNPCC7942_1473
SYNPCC7942_0353-MONOMER	Na+-dependent transporter-like	CCO-MEMBRANE	SYNPCC7942_0353
SYNPCC7942_1843-MONOMER	conserved hypothetical protein		SYNPCC7942_1843
SYNPCC7942_2105-MONOMER	cyanate transport ATP-binding subunit		SYNPCC7942_2105
SYNPCC7942_0718-MONOMER	conserved hypothetical protein		SYNPCC7942_0718
SYNPCC7942_2473-MONOMER	serine phosphatase		SYNPCC7942_2473
SYNPCC7942_1092-MONOMER	conserved hypothetical protein		SYNPCC7942_1092
SYNPCC7942_1457-MONOMER	1-acylglycerol-3-phosphate <em>O</em>-acyltransferase	CCO-MEMBRANE	SYNPCC7942_1457
SYNPCC7942_0337-MONOMER	ATP synthase F1, &gamma; subunit	CCI-THY-MEM-CYA-GN	SYNPCC7942_0337
SYNPCC7942_1827-MONOMER	conserved hypothetical protein		SYNPCC7942_1827
SYNPCC7942_0702-MONOMER	conserved hypothetical protein		SYNPCC7942_0702
SYNPCC7942_2457-MONOMER	glycyl-tRNA synthetase, alpha subunit	CCI-CYTOSOL-GN	SYNPCC7942_2457
SYNPCC7942_1076-MONOMER	osmotic signal transduction related protein		SYNPCC7942_1076
SYNPCC7942_1441-MONOMER	cobalamin biosynthesis protein CobD	CCI-PM-BAC-NEG-GN	SYNPCC7942_1441
SYNPCC7942_0321-MONOMER	nitrogen regulatory protein P-II		SYNPCC7942_0321
SYNPCC7942_1811-MONOMER	diguanylate cyclase (GGDEF domain) with PAS/PAC sensor	CCO-MEMBRANE	SYNPCC7942_1811
SYNPCC7942_0686-MONOMER	conserved hypothetical protein		SYNPCC7942_0686
SYNPCC7942_2441-MONOMER	Phosphate ABC transporter, permease protein PstB	CCI-PM-BAC-NEG-GN	SYNPCC7942_2441
