,name,genes,source
USA300HOU_RS02595-MONOMER,RNA-binding S4 domain-containing protein,USA300HOU_RS02595(),BioCyc
USA300HOU_RS05410-MONOMER,cytochrome ubiquinol oxidase subunit I,USA300HOU_RS05410(),BioCyc
USA300HOU_RS14370-MONOMER,amidase domain-containing protein,USA300HOU_RS14370(),BioCyc
USA300HOU_RS07290-MONOMER,dihydrofolate reductase,USA300HOU_RS07290(1),BioCyc
USA300HOU_RS12495-MONOMER,DUF1641 domain-containing protein,USA300HOU_RS12495(),BioCyc
USA300HOU_RS04035-MONOMER,GGDEF domain-containing protein,USA300HOU_RS04035(),BioCyc
USA300HOU_RS02600-MONOMER,septum formation initiator family protein,USA300HOU_RS02600(),BioCyc
USA300HOU_RS11365-MONOMER,F0F1 ATP synthase subunit gamma,USA300HOU_RS11365(),BioCyc
CPLX2KSB-61,ABC transporter,USA300HOU_RS06710() AND USA300HOU_RS06705(),BioCyc
USA300HOU_RS05215-MONOMER,Glu-specific serine endopeptidase SspA,USA300HOU_RS05215(),BioCyc
USA300HOU_RS00100-MONOMER,response regulator YycF,USA300HOU_RS00100(),BioCyc
USA300HOU_RS15720-MONOMER,phenol-soluble modulin PSM-alpha-1,USA300HOU_RS15720(),BioCyc
USA300HOU_RS05415-MONOMER,cytochrome d ubiquinol oxidase subunit II,USA300HOU_RS05415(),BioCyc
USA300HOU_RS04825-MONOMER,metal-sulfur cluster assembly factor,USA300HOU_RS04825(),BioCyc
USA300HOU_RS08010-MONOMER,transcriptional repressor,USA300HOU_RS08010(),BioCyc
USA300HOU_RS06130-MONOMER,serine/threonine protein kinase Stk1,USA300HOU_RS06130(),BioCyc
USA300HOU_RS11085-MONOMER,3-isopropylmalate dehydrogenase,USA300HOU_RS11085(2),BioCyc
USA300HOU_RS14775-MONOMER,penicillinase repressor BlaI,USA300HOU_RS14775(),BioCyc
USA300HOU_RS11790-MONOMER,hypothetical protein,USA300HOU_RS11790(),BioCyc
USA300HOU_RS12875-MONOMER,YbgA family protein,USA300HOU_RS12875(),BioCyc
USA300HOU_RS00900-MONOMER,hypothetical protein,USA300HOU_RS00900(),BioCyc
USA300HOU_RS13810-MONOMER,hypothetical protein,USA300HOU_RS13810(),BioCyc
USA300HOU_RS08465-MONOMER,DNA internalization-related competence protein ComEC/Rec2,USA300HOU_RS08465(),BioCyc
USA300HOU_RS06090-MONOMER,primosomal protein N',USA300HOU_RS06090(),BioCyc
USA300HOU_RS04340-MONOMER,LysE/ArgO family amino acid transporter,USA300HOU_RS04340(1),BioCyc
USA300HOU_RS03055-MONOMER,APC family permease,USA300HOU_RS03055(),BioCyc
USA300HOU_RS14375-MONOMER,cysteine hydrolase,USA300HOU_RS14375(5),BioCyc
USA300HOU_RS00645-MONOMER,bifunctional transcriptional regulator/O-phospho-L-serine synthase SbnI,USA300HOU_RS00645(),BioCyc
USA300HOU_RS10810-MONOMER,phage antirepressor KilAC domain-containing protein,USA300HOU_RS10810(),BioCyc
USA300HOU_RS07945-MONOMER,hypothetical protein,USA300HOU_RS07945(),BioCyc
USA300HOU_RS02605-MONOMER,S1 domain-containing RNA-binding protein,USA300HOU_RS02605(),BioCyc
USA300HOU_RS11795-MONOMER,saureusyloferrin A biosynthesis protein SfaC,USA300HOU_RS11795(),BioCyc
USA300HOU_RS10155-MONOMER,ABC transporter ATP-binding protein,USA300HOU_RS10155(),BioCyc
USA300HOU_RS13355-MONOMER,ABC transporter ATP-binding protein,USA300HOU_RS13355(),BioCyc
USA300HOU_RS09560-MONOMER,hypothetical protein,USA300HOU_RS09560(),BioCyc
USA300HOU_RS05420-MONOMER,TrkA family potassium uptake protein,USA300HOU_RS05420(),BioCyc
USA300HOU_RS05900-MONOMER,beta-class phenol-soluble modulin,USA300HOU_RS05900(),BioCyc
USA300HOU_RS04715-MONOMER,Na+/H+ antiporter Mnh1 subunit B,USA300HOU_RS04715(),BioCyc
USA300HOU_RS06275-MONOMER,LysM peptidoglycan-binding domain-containing protein,USA300HOU_RS06275(),BioCyc
USA300HOU_RS03505-MONOMER,iron ABC transporter permease,USA300HOU_RS03505(),BioCyc
USA300HOU_RS13815-MONOMER,"hydroxymethylglutaryl-CoA reductase, degradative",USA300HOU_RS13815(),BioCyc
USA300HOU_RS05730-MONOMER,hypothetical protein,USA300HOU_RS05730(),BioCyc
USA300HOU_RS02610-MONOMER,tRNA lysidine(34) synthetase TilS,USA300HOU_RS02610(1),BioCyc
