Proteins,Common-Name,"Genes of polypeptide, complex, or RNA",Locations
G12WB-2381-MONOMER,streptogramin A acetyltransferase,G12WB-2381,
G12WB-1094-MONOMER,hypothetical protein,G12WB-1094,
G12WB-2715-MONOMER,ATP-dependent DNA helicase RecG,G12WB-2715,CCI-CYTOSOL-GP
G12WB-427-MONOMER,hypothetical protein,G12WB-427,
G12WB-744-MONOMER,hydrolase,G12WB-744,
G12WB-3052-MONOMER,hypothetical protein,G12WB-3052,
G12WB-1663-MONOMER,iron-sulfur protein,G12WB-1663,
G12WB-3563-MONOMER,cell-division FtsK/SpoIIIE-family protein,G12WB-3563,CCI-PM-BAC-POS-GP
G12WB-2026-MONOMER,conjugative transposon protein,G12WB-2026,
G12WB-2366-MONOMER,"multidrug family ABC transporter, ATP-binding/membrane protein",G12WB-2366,CCI-PM-BAC-POS-GP
G12WB-108-MONOMER,TrmH family tRNA/rRNA methyltransferase,G12WB-108,CCI-CYTOSOL-GP
G12WB-414-MONOMER,membrane protein,G12WB-414,CCI-PM-BAC-POS-GP
G12WB-73-MONOMER,pyruvate carboxylase,G12WB-73,CCI-CYTOSOL-GP
G12WB-2703-MONOMER,"sugar family ABC transporter, membrane protein",G12WB-2703,CCI-PM-BAC-POS-GP
G12WB-3038-MONOMER,"putative iron(III)-hydroxamate ABC transporter, substrate-binding protein",G12WB-3038,
G12WB-1647-MONOMER,spore outer coat layer protein CotB,G12WB-1647,CCI-CW-BAC-POS-GP
G12WB-3549-MONOMER,magnesium-transporting ATPase protein C,G12WB-3549,CCI-PM-BAC-POS-GP
G12WB-2010-MONOMER,HTH-type transcriptional regulator,G12WB-2010,
G12WB-892-MONOMER,peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase,G12WB-892,CCI-PM-BAC-POS-GP
G12WB-2351-MONOMER,ferredoxin/flavodoxin oxidoreductase subunit gamma,G12WB-2351,
G12WB-1065-MONOMER,hypothetical protein,G12WB-1065,
G12WB-398-MONOMER,hypothetical protein,G12WB-398,CCI-PM-BAC-POS-GP
G12WB-715-MONOMER,hypothetical protein,G12WB-715,
G12WB-2689-MONOMER,"ABC transporter, ATP-binding protein",G12WB-2689,
G12WB-3023-MONOMER,sigma-54 dependent transcriptional regulator,G12WB-3023,
G12WB-3358-MONOMER,cell wall protein 21,G12WB-3358,
G12WB-1632-MONOMER,pyrroline-5-carboxylate reductase,G12WB-1632,CCI-CYTOSOL-GP
G12WB-3534-MONOMER,diguanylate kinase signaling protein,G12WB-3534,
G12WB-1995-MONOMER,single-strand DNA-binding protein,G12WB-1995,
G12WB-2337-MONOMER,DEAD/DEAH box helicase,G12WB-2337,CCI-CYTOSOL-GP
G12WB-1050-MONOMER,hypothetical protein,G12WB-1050,
G12WB-3879-MONOMER,hypothetical protein,G12WB-3879,
G12WB-7-MONOMER,spore protein,G12WB-7,CCI-PM-BAC-POS-GP
G12WB-2674-MONOMER,integrase,G12WB-2674,
G12WB-3009-MONOMER,bifunctional phosphonoacetaldehyde hydrolase/aminoethylphosphonate transaminase,G12WB-3009,
G12WB-3343-MONOMER,xanthine dehydrogenase,G12WB-3343,
G12WB-1618-MONOMER,tryptophan RNA-binding attenuation protein,G12WB-1618,
G12WB-352-MONOMER,flagellar motor switch protein FliG,G12WB-352,CCI-PM-BAC-POS-GP // CCO-CELL-PROJECTION
