,name,genes,source
SYNPCC7942_1907-MONOMER,magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase,SYNPCC7942_RS09670(),BioCyc
SYNPCC7942_2169-MONOMER,conserved hypothetical protein,SYNPCC7942_RS11025(),BioCyc
SYNPCC7942_0782-MONOMER,ATPase,SYNPCC7942_RS04055(),BioCyc
SYNPCC7942_2537-MONOMER,ClpP3,SYNPCC7942_RS12880(),BioCyc
SYNPCC7942_1156-MONOMER,conserved hypothetical protein,SYNPCC7942_RS05925(),BioCyc
SYNPCC7942_0032-MONOMER,conserved hypothetical protein,SYNPCC7942_RS00165(),BioCyc
SYNPCC7942_1522-MONOMER,"DNA-directed RNA polymerase, beta subunit",SYNPCC7942_RS07780(),BioCyc
SYNPCC7942_0401-MONOMER,Diacylglycerol kinase,SYNPCC7942_RS02045(),BioCyc
SYNPCC7942_1891-MONOMER,LabA (low-amplitude and bright) protein,SYNPCC7942_RS09590(),BioCyc
SYNPCC7942_2153-MONOMER,hypothetical protein,SYNPCC7942_RS10940(),BioCyc
SYNPCC7942_0766-MONOMER,DNA-damage-inducible protein,SYNPCC7942_RS03970(),BioCyc
SYNPCC7942_2521-MONOMER,"Nucleotide binding protein, PINc",SYNPCC7942_RS12800(),BioCyc
SYNPCC7942_1140-MONOMER,conserved hypothetical protein,SYNPCC7942_RS05835(),BioCyc
SYNPCC7942_0016-MONOMER,conserved hypothetical protein,SYNPCC7942_RS00085(),BioCyc
SYNPCC7942_1506-MONOMER,conserved hypothetical protein,SYNPCC7942_RS07695(),BioCyc
SYNPCC7942_0385-MONOMER,geranylgeranyl reductase,SYNPCC7942_RS01965(),BioCyc
SYNPCC7942_1875-MONOMER,conserved hypothetical protein,SYNPCC7942_RS09510(),BioCyc
SYNPCC7942_2137-MONOMER,"Magnesium-chelatase, subunit H",SYNPCC7942_RS10840(),BioCyc
SYNPCC7942_0750-MONOMER,"phage tail tape measure protein TP901, core region",SYNPCC7942_RS03885(),BioCyc
SYNPCC7942_2505-MONOMER,Caffeoyl-CoA O-methyltransferase,SYNPCC7942_RS12710(),BioCyc
SYNPCC7942_1124-MONOMER,Exoribonuclease II,SYNPCC7942_RS05755(1),BioCyc
NTCA,NtcA global nitrogen regulator,SYNPCC7942_RS00645(),BioCyc
