complex_id,name,genes,mod,replace
CPLX_4HBZR-0,4-hydroxybenzoylCoA reducatse,Gmet_2135() AND Gmet_2136() AND Gmet_2134(),,
CPLX_ACCOAC-0,Acetyl-CoA carboxylase,Gmet_0983(2) AND Gmet_2476(2) AND Gmet_1216(2) AND Gmet_0984(2),,
CPLX_ACITL-0,ATP-Citrate lyase,Gmet_0305() AND Gmet_0306(),,
CPLX_ANS-0,Anthranilate synthase,Gmet_2496(1) AND Gmet_2497(1),,
CPLX_ATPS10rpp-0,ATP synthase (10 protons for 3 ATP) (periplasm),Gmet_3359() AND Gmet_3360() AND Gmet_3405() AND Gmet_3406() AND Gmet_3407() AND Gmet_3408() AND Gmet_3409() AND Gmet_3410() AND Gmet_3411(),,
CPLX_CDGS1-0,7-carboxy-7-deazaguanine synthase,Gmet_2647() AND Gmet_1658(),,
CPLX_CDGS1-1,7-carboxy-7-deazaguanine synthase,Gmet_1442() AND Gmet_1658(),,
CPLX_CDGS1-2,7-carboxy-7-deazaguanine synthase,Gmet_1106() AND Gmet_1658(),,
CPLX_CDGS1-3,7-carboxy-7-deazaguanine synthase,Gmet_1815() AND Gmet_1658(),,
CPLX_AKGDH-0,2-Oxogluterate dehydrogenase,Gmet_1896() AND Gmet_2769() AND Gmet_2766(),,
CPLX_AKGDH-1,2-Oxogluterate dehydrogenase,Gmet_2769(12) AND Gmet_2764(2) AND Gmet_2766(24),,
CPLX_BCR6pp-0,"BenzoylCoA reductase (Ech associated, periplasm) 6 protons",Gmet_2080() AND Gmet_2081() AND Gmet_2083() AND Gmet_2084() AND Gmet_2085() AND Gmet_2086() AND Gmet_2087() AND Gmet_2596() AND Gmet_2597() AND Gmet_2598() AND Gmet_2599() AND Gmet_2600() AND Gmet_2601(),,
CPLX_BCR6pp-1,"BenzoylCoA reductase (Ech associated, periplasm) 6 protons",Gmet_2080() AND Gmet_2081() AND Gmet_2083() AND Gmet_2084() AND Gmet_2085() AND Gmet_2086() AND Gmet_2087() AND Gmet_0369() AND Gmet_0371() AND Gmet_0372() AND Gmet_0373() AND Gmet_0374() AND Gmet_0375(),,
CPLX_BCR6pp-2,"BenzoylCoA reductase (Ech associated, periplasm) 6 protons",Gmet_1802() AND Gmet_1803() AND Gmet_2080() AND Gmet_2081() AND Gmet_2083() AND Gmet_2084() AND Gmet_2085() AND Gmet_2596() AND Gmet_2597() AND Gmet_2598() AND Gmet_2599() AND Gmet_2600() AND Gmet_2601(),,
CPLX_BCR6pp-3,"BenzoylCoA reductase (Ech associated, periplasm) 6 protons",Gmet_1802() AND Gmet_1803() AND Gmet_2080() AND Gmet_2081() AND Gmet_2083() AND Gmet_2084() AND Gmet_2085() AND Gmet_0369() AND Gmet_0371() AND Gmet_0372() AND Gmet_0373() AND Gmet_0374() AND Gmet_0375(),,
CPLX_BSCT-0,Benzoylsuccinyl-CoA thiolase,Gmet_1528() AND Gmet_1529(),,
CPLX_BZSCT-0,Benzylsuccinate CoA-transferase,Gmet_1521() AND Gmet_1522(),,
CPLX_BZSS-0,Benzylsuccinate synthase,Gmet_1538() AND Gmet_1539() AND Gmet_1540() AND Gmet_1541(),,
CPLX_CBPS-0,Carbamoyl-phosphate synthase (glutamine-hydrolysing),Gmet_0661() AND Gmet_1771(),,
CPLX_CD2t4pp-0,Cadmium (Cd+2) transport out via proton antiport (periplasm),Gmet_3507() AND Gmet_3508() AND Gmet_3509() AND Gmet_3071(),,
CPLX_CD2t4pp-1,Cadmium (Cd+2) transport out via proton antiport (periplasm),Gmet_3507() AND Gmet_3508() AND Gmet_3509() AND Gmet_0858(),,
CPLX_CD2t4pp-2,Cadmium (Cd+2) transport out via proton antiport (periplasm),Gmet_1547() AND Gmet_1548() AND Gmet_1549() AND Gmet_0858(),,
CPLX_CD2t4pp-3,Cadmium (Cd+2) transport out via proton antiport (periplasm),Gmet_1547() AND Gmet_1548() AND Gmet_1549() AND Gmet_3071(),,
CPLX_Cobalt2abcppI-0,Cobalt II transport via ABC system periplasm I,Gmet_0472() AND Gmet_0473() AND Gmet_0475() AND Gmet_0474(),,
CPLX_CPC5MT-0,Precorrin-5 C1-methyltransferase,Gmet_0478() AND Gmet_0484(),,
CPLX_CYOO2pp-0,Cytochrome-c oxidase (2 protons translocated) periplasm,Gmet_0249() AND Gmet_0250() AND Gmet_0251() AND Gmet_0252(),,
CPLX_CPMPS-0,Cyclic pyranopterin monophosphate synthase,Gmet_0301() AND Gmet_1037(),,
CPLX_CPMPS-1,Cyclic pyranopterin monophosphate synthase,Gmet_0337() AND Gmet_1037(),,
CPLX_CPMPS-2,Cyclic pyranopterin monophosphate synthase,Gmet_1037() AND Gmet_2095(),,
CPLX_CRO4t3pp-0,Chromate transport out via proton antiport (cytoplasm to periplasm),Gmet_2731() AND Gmet_2732(),,
CPLX_CYTBD2pp-0,Cytochrome oxidase bd (menaquinol-8: 2 protons) (periplasm),Gmet_1929() AND Gmet_1930() AND Gmet_2633() AND Gmet_2634(),,
CPLX_CYTMQOR3pp-0,Menaquinone cytochrome oxidoreductase (periplasmic) 3 proton translocated / 2e-,Gmet_1809() AND Gmet_1810() AND Gmet_1811(),,
CPLX_CYTMQOR3pp-1,Menaquinone cytochrome oxidoreductase (periplasmic) 3 proton translocated / 2e-,Gmet_1922() AND Gmet_1923() AND Gmet_1924(),,
CPLX_CYTMQOR3pp-2,Menaquinone cytochrome oxidoreductase (periplasmic) 3 proton translocated / 2e-,Gmet_0536() AND Gmet_0537() AND Gmet_0538() AND Gmet_0539() AND Gmet_0541() AND Gmet_3585(),,
CPLX_DHNAOT4-0,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",Gmet_3393() AND Gmet_3392(),,
CPLX_DHORD5-0,Dihydroorotic acid (menaquinone-8),Gmet_1841() AND Gmet_1842(),,
CPLX_FADMQOR-0,Menaquinone:FAD oxidoreductase,Gmet_0683() AND Gmet_0684() AND Gmet_0685(),,
CPLX_FADMQOR-1,Menaquinone:FAD oxidoreductase,Gmet_2066() AND Gmet_2067() AND Gmet_2065(),,
CPLX_FADMQOR-2,Menaquinone:FAD oxidoreductase,Gmet_2257() AND Gmet_2258() AND Gmet_2255(),,
CPLX_FADMQOR-3,Menaquinone:FAD oxidoreductase,Gmet_2152() AND Gmet_2153() AND Gmet_2070(),,
CPLX_FADMQOR-4,Menaquinone:FAD oxidoreductase,Gmet_1525() AND Gmet_1526() AND Gmet_1527(),,
CPLX_FADMQOR-5,Menaquinone:FAD oxidoreductase,Gmet_2262() AND Gmet_2263() AND Gmet_2264(),,
CPLX_FADMQOR-6,Menaquinone:FAD oxidoreductase,Gmet_1712() AND Gmet_1713() AND Gmet_1714(),,
CPLX_FADMQOR-7,Menaquinone:FAD oxidoreductase,Gmet_2265() AND Gmet_2266() AND Gmet_2267(),,
CPLX_FDH5r2pp-0,Formate Dehydrogenase (menaquinone-8) (periplasm) 2 protons,Gmet_1004() AND Gmet_1059() AND Gmet_1060() AND Gmet_1061(),,
CPLX_FLNDPR2r-0,Flavodoxin : nadp reductase,Gmet_3022() AND Gmet_3023(),,
CPLX_FRD2rpp-0,"Fumarate reductase / succinate dehydrogenase (irreversible) (periplasmic, membrane potential dissipating)",Gmet_2395() AND Gmet_2396() AND Gmet_2397(),,
CPLX_FRD2rpp-1,"Fumarate reductase / succinate dehydrogenase (irreversible) (periplasmic, membrane potential dissipating)",Gmet_0308() AND Gmet_0309() AND Gmet_0310(),,
CPLX_HDR3-0,Heterodisulfide reductase (Geobacter),Gmet_3424() AND Gmet_3425() AND Gmet_3426() AND Gmet_3427() AND Gmet_3428() AND Gmet_3430() AND Gmet_3431(),,
CPLX_GLUSx-0,Glutamate synthase  NADH2 ,Gmet_1752() AND Gmet_1753() AND Gmet_1754() AND Gmet_1755() AND Gmet_1756(),,
CPLX_GLYCTO3-0,Glycolate oxidase,Gmet_3245() AND Gmet_3246(),,
CPLX_GM1LIPAabctex-0,G. metallireducens core lipid A transport via ABC system (periplasm to extracellular),Gmet_1281() AND Gmet_1282() AND Gmet_1280() AND Gmet_2474() AND Gmet_2299() AND Gmet_1249() AND Gmet_1248(),,
CPLX_GCCa-0,Glycine-cleavage complex,Gmet_3154() AND Gmet_3152() AND Gmet_3153(),,
CPLX_IOR2b-0,Indolepyruvate ferredoxin oxidoreductase (phenylpyvurate),Gmet_1826() AND Gmet_1827(),,
CPLX_IOR2b-1,Indolepyruvate ferredoxin oxidoreductase (phenylpyvurate),Gmet_0948() AND Gmet_0949(),,
CPLX_IOR2b-2,Indolepyruvate ferredoxin oxidoreductase (phenylpyvurate),Gmet_1307() AND Gmet_1308() AND Gmet_1309() AND Gmet_1306(),,
CPLX_MCCC-0,Methylcrotonoyl-CoA carboxylase,Gmet_3292() AND Gmet_3290(),,
CPLX_LACD-0,Lactate dehydrogenase,Gmet_3245() AND Gmet_3246() AND Gmet_0985(),,
CPLX_LPD5-0,Dihydrolipoamide dehydrogenase,Gmet_0985() AND Gmet_2764(),,
CPLX_LPD5-1,Dihydrolipoamide dehydrogenase,Gmet_0985() AND Gmet_1896(),,
CPLX_MMM2-0,Methylmalonyl-CoA mutase,Gmet_1574() AND Gmet_3251(),,
CPLX_MMM2-1,Methylmalonyl-CoA mutase,Gmet_2208() AND Gmet_2209(),,
CPLX_MOADSUx-0,"MoaD sulfuration (nadh, assumed)",Gmet_1044() AND Gmet_0992(),,
