,name,genes,source
G12WB-2381-MONOMER,streptogramin A acetyltransferase,CD630_22260(),BioCyc
G12WB-1094-MONOMER,hypothetical protein,CD630_09771(),BioCyc
G12WB-2715-MONOMER,ATP-dependent DNA helicase RecG,CD630_25600(),BioCyc
G12WB-427-MONOMER,hypothetical protein,CD630_03181(),BioCyc
G12WB-744-MONOMER,hydrolase,CD630_06350(),BioCyc
G12WB-3052-MONOMER,hypothetical protein,CD630_28920(),BioCyc
G12WB-1663-MONOMER,iron-sulfur protein,CD630_15250(),BioCyc
G12WB-3563-MONOMER,cell-division FtsK/SpoIIIE-family protein,CD630_33890(),BioCyc
G12WB-2026-MONOMER,conjugative transposon protein,CD630_18782(),BioCyc
G12WB-2366-MONOMER,"multidrug family ABC transporter, ATP-binding/membrane protein",CD630_22110(),BioCyc
G12WB-108-MONOMER,TrmH family tRNA/rRNA methyltransferase,CD630_00550(2),BioCyc
G12WB-414-MONOMER,membrane protein,CD630_03080(),BioCyc
G12WB-73-MONOMER,pyruvate carboxylase,CD630_00210(),BioCyc
G12WB-2703-MONOMER,"sugar family ABC transporter, membrane protein",CD630_25480(),BioCyc
G12WB-3038-MONOMER,"putative iron(III)-hydroxamate ABC transporter, substrate-binding protein",CD630_28780(),BioCyc
G12WB-1647-MONOMER,spore outer coat layer protein CotB,CD630_15110(),BioCyc
G12WB-3549-MONOMER,magnesium-transporting ATPase protein C,CD630_33750(),BioCyc
G12WB-2010-MONOMER,HTH-type transcriptional regulator,CD630_18640(),BioCyc
G12WB-892-MONOMER,peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase,CD630_07810(),BioCyc
G12WB-2351-MONOMER,ferredoxin/flavodoxin oxidoreductase subunit gamma,CD630_21970(),BioCyc
G12WB-1065-MONOMER,hypothetical protein,CD630_09520(),BioCyc
G12WB-398-MONOMER,hypothetical protein,CD630_02921(),BioCyc
G12WB-715-MONOMER,hypothetical protein,CD630_06040(),BioCyc
G12WB-2689-MONOMER,"ABC transporter, ATP-binding protein",CD630_25340(),BioCyc
G12WB-3023-MONOMER,sigma-54 dependent transcriptional regulator,CD630_28630(),BioCyc
G12WB-3358-MONOMER,cell wall protein 21,CD630_31920(),BioCyc
G12WB-1632-MONOMER,pyrroline-5-carboxylate reductase,CD630_14950(10),BioCyc
G12WB-3534-MONOMER,diguanylate kinase signaling protein,CD630_33650(),BioCyc
G12WB-1995-MONOMER,single-strand DNA-binding protein,CD630_18510(),BioCyc
G12WB-2337-MONOMER,DEAD/DEAH box helicase,CD630_21800(),BioCyc
G12WB-1050-MONOMER,hypothetical protein,CD630_09380(),BioCyc
G12WB-3879-MONOMER,hypothetical protein,CDP06(),BioCyc
G12WB-7-MONOMER,spore protein,CD630_00070(),BioCyc
G12WB-2674-MONOMER,integrase,CD630_25190(),BioCyc
G12WB-3009-MONOMER,bifunctional phosphonoacetaldehyde hydrolase/aminoethylphosphonate transaminase,CD630_28490(),BioCyc
G12WB-3343-MONOMER,xanthine dehydrogenase,CD630_31770(),BioCyc
G12WB-1618-MONOMER,tryptophan RNA-binding attenuation protein,CD630_14810(),BioCyc
G12WB-352-MONOMER,flagellar motor switch protein FliG,CD630_02490(),BioCyc
G12WB-1979-MONOMER,3-phosphoshikimate 1-carboxyvinyltransferase,CD630_18340(1),BioCyc
G12WB-2322-MONOMER,L-lactate dehydrogenase,CD630_21640(2),BioCyc
G12WB-1036-MONOMER,hypothetical protein,CD630_09260(),BioCyc
G12WB-3863-MONOMER,stage 0 sporulation protein J,CD630_36710(),BioCyc
G12WB-684-MONOMER,membrane protein,CD630_05730(),BioCyc
G12WB-266-MONOMER,hypothetical protein,CD630_01630(),BioCyc
G12WB-2995-MONOMER,aminobenzoyl-glutamate transport protein,CD630_28350(),BioCyc
G12WB-3329-MONOMER,ribonuclease R,CD630_31640(),BioCyc
G12WB-1603-MONOMER,"ABC transporter, ATP-binding protein",CD630_14660(),BioCyc
G12WB-3505-MONOMER,cell wall hydrolase,CD630_33360(),BioCyc
G12WB-1962-MONOMER,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,CD630_18180(2),BioCyc
G12WB-2308-MONOMER,hypothetical protein,CD630_21510(),BioCyc
G12WB-1021-MONOMER,hypothetical protein,CD630_09130(),BioCyc
G12WB-3849-MONOMER,50S ribosomal protein L9,CD630_36580(1),BioCyc
G12WB-668-MONOMER,sugar isomerase / endonuclease,CD630_05560(),BioCyc
G12WB-2644-MONOMER,PTS operon transcription antiterminator,CD630_24890(),BioCyc
G12WB-2980-MONOMER,amino acid racemase,CD630_28190(),BioCyc
G12WB-3314-MONOMER,hypothetical protein,CD630_31520(),BioCyc
G12WB-159-MONOMER,energy-coupling factor transporter ATP-binding protein 2,CD630_01010(),BioCyc
G12WB-3490-MONOMER,hypothetical protein,CD630_33230(),BioCyc
G12WB-1946-MONOMER,tellurium resistance protein,CD630_17990(),BioCyc
G12WB-2293-MONOMER,hypothetical protein,CD630_21361(),BioCyc
G12WB-2073-MONOMER,LexA transcriptional regulator,CD630_19310(),BioCyc
G12WB-1007-MONOMER,DNA polymerase IV,CD630_08990(),BioCyc
G12WB-2807-MONOMER,peptidoglycan DD-transpeptidase,CD630_26560(1),BioCyc
G12WB-3830-MONOMER,dihydroorotase,CD630_36430(),BioCyc
G12WB-1278-MONOMER,peptidoglycan DD-transpeptidase,CD630_11480(1),BioCyc
G12WB-652-MONOMER,chemotaxis protein CheW,CD630_05400(),BioCyc
G12WB-1360-MONOMER,peptidoglycan DD-transpeptidase,CD630_12290(),BioCyc
G12WB-263-MONOMER,two-component response regulator,CD630_01600(),BioCyc
G12WB-1346-MONOMER,thiamine diphosphokinase,CD630_12150(),BioCyc
