,name,genes,source
LLMG_RS00005-MONOMER,chromosomal replication initiator protein DnaA,LLMG_RS00005(),GenBank
LLMG_RS00010-MONOMER,DNA polymerase III subunit beta,LLMG_RS00010(),GenBank
LLMG_RS00015-MONOMER,ATP-dependent nuclease subunit B,LLMG_RS00015(),GenBank
LLMG_RS00020-MONOMER,helicase-exonuclease AddAB subunit AddA,LLMG_RS00020(),GenBank
LLMG_RS00025-MONOMER,DUF951 domain-containing protein,LLMG_RS00025(),GenBank
LLMG_RS00030-MONOMER,helix-turn-helix transcriptional regulator,LLMG_RS00030(),GenBank
LLMG_RS00035-MONOMER,redox-regulated ATPase YchF,LLMG_RS00035(),GenBank
LLMG_RS00040-MONOMER,helix-turn-helix transcriptional regulator,LLMG_RS00040(),GenBank
LLMG_RS13715-MONOMER,cell surface protein,LLMG_RS13715(),GenBank
LLMG_RS00045-MONOMER,Ig-like domain repeat protein,LLMG_RS00045(),GenBank
LLMG_RS13725-MONOMER,hypothetical protein,LLMG_RS13725(),GenBank
LLMG_RS00050-MONOMER,AAA family ATPase,LLMG_RS00050(),GenBank
LLMG_RS00055-MONOMER,aminoacyl-tRNA hydrolase,LLMG_RS00055(),GenBank
LLMG_RS00060-MONOMER,transcription-repair coupling factor,LLMG_RS00060(1),GenBank
LLMG_RS00065-MONOMER,RNA-binding S4 domain-containing protein,LLMG_RS00065(),GenBank
LLMG_RS00070-MONOMER,septum formation initiator family protein,LLMG_RS00070(),GenBank
LLMG_RS00075-MONOMER,hypothetical protein,LLMG_RS00075(),GenBank
LLMG_RS00080-MONOMER,serine hydrolase,LLMG_RS00080(),GenBank
LLMG_RS00085-MONOMER,tRNA lysidine(34) synthetase TilS,LLMG_RS00085(1),GenBank
LLMG_RS00090-MONOMER,hypoxanthine phosphoribosyltransferase,LLMG_RS00090(),GenBank
LLMG_RS00095-MONOMER,ATP-dependent zinc metalloprotease FtsH,LLMG_RS00095(),GenBank
LLMG_RS00140-MONOMER,PTS transporter subunit EIIC,LLMG_RS00140(),GenBank
LLMG_RS00145-MONOMER,transcription antiterminator,LLMG_RS00145(),GenBank
LLMG_RS00150-MONOMER,PTS sugar transporter subunit IIA,LLMG_RS00150(),GenBank
LLMG_RS00155-MONOMER,mannitol-1-phosphate 5-dehydrogenase,LLMG_RS00155(1),GenBank
LLMG_RS00160-MONOMER,sigma factor-like helix-turn-helix DNA-binding protein,LLMG_RS00160(),GenBank
