,name,genes,source
ALW85_RS02735-MONOMER,IS481-like element ISNe2 family transposase,ALW85_RS02735(),BioCyc
ALW85_RS11545-MONOMER,SH3 domain-containing protein,ALW85_RS11545(),BioCyc
ALW85_RS09455-MONOMER,hypothetical protein,ALW85_RS09455(),BioCyc
ALW85_RS02055-MONOMER,membrane protein insertion efficiency factor YidD,ALW85_RS02055(),BioCyc
ALW85_RS07070-MONOMER,type II toxin-antitoxin system RelE/ParE family toxin,ALW85_RS07070(),BioCyc
ALW85_RS01395-MONOMER,metalloregulator ArsR/SmtB family transcription factor,ALW85_RS01395(),BioCyc
ALW85_RS08175-MONOMER,SDR family oxidoreductase,ALW85_RS08175(),BioCyc
ALW85_RS04125-MONOMER,C39 family peptidase,ALW85_RS04125(),BioCyc
ALW85_RS11550-MONOMER,protein-export chaperone SecB,ALW85_RS11550(4),BioCyc
ALW85_RS03225-MONOMER,4-hydroxy-tetrahydrodipicolinate reductase,ALW85_RS03225(4),BioCyc
ALW85_RS05400-MONOMER,50S ribosomal protein L31,ALW85_RS05400(1),BioCyc
ALW85_RS11555-MONOMER,glutaredoxin 3,ALW85_RS11555(1),BioCyc
ALW85_RS09465-MONOMER,IS3 family transposase,ALW85_RS09465(),BioCyc
ALW85_RS14305-MONOMER,type II toxin-antitoxin system RelE/ParE family toxin,ALW85_RS14305(),BioCyc
ALW85_RS01605-MONOMER,flagellar basal body rod protein FlgC,ALW85_RS01605(),BioCyc
ALW85_RS11560-MONOMER,rhodanese-like domain-containing protein,ALW85_RS11560(),BioCyc
ALW85_RS02345-MONOMER,valine--tRNA ligase,ALW85_RS02345(1),BioCyc
ALW85_RS03990-MONOMER,heme exporter protein CcmB,ALW85_RS03990(),BioCyc
ALW85_RS00405-MONOMER,deoxynucleoside kinase,ALW85_RS00405(),BioCyc
ALW85_RS03605-MONOMER,membrane protein,ALW85_RS03605(),BioCyc
ALW85_RS11565-MONOMER,bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ,ALW85_RS11565(),BioCyc
ALW85_RS11570-MONOMER,ATP-binding protein,ALW85_RS11570(),BioCyc
ALW85_RS00565-MONOMER,thioredoxin domain-containing protein,ALW85_RS00565(),BioCyc
ALW85_RS09470-MONOMER,helix-turn-helix domain-containing protein,ALW85_RS09470(),BioCyc
ALW85_RS14310-MONOMER,DUF2442 domain-containing protein,ALW85_RS14310(),BioCyc
ALW85_RS11575-MONOMER,Nudix family hydrolase,ALW85_RS11575(1),BioCyc
ALW85_RS08180-MONOMER,Gfo/Idh/MocA family oxidoreductase,ALW85_RS08180(),BioCyc
ALW85_RS04410-MONOMER,mercuric ion transporter MerT,ALW85_RS04410(),BioCyc
ALW85_RS11580-MONOMER,FAD-dependent oxidoreductase,ALW85_RS11580(),BioCyc
ALW85_RS05415-MONOMER,hypothetical protein,ALW85_RS05415(),BioCyc
ALW85_RS00205-MONOMER,protein-L-isoaspartate O-methyltransferase,ALW85_RS00205(),BioCyc
ALW85_RS01090-MONOMER,YebC/PmpR family DNA-binding transcriptional regulator,ALW85_RS01090(),BioCyc
ALW85_RS11585-MONOMER,UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl- meso-diaminopimelate ligase,ALW85_RS11585(1),BioCyc
ALW85_RS07085-MONOMER,DUF4160 domain-containing protein,ALW85_RS07085(),BioCyc
ALW85_RS08185-MONOMER,acylneuraminate cytidylyltransferase family protein,ALW85_RS08185(),BioCyc
ALW85_RS11590-MONOMER,hypothetical protein,ALW85_RS11590(),BioCyc
ALW85_RS00410-MONOMER,3-methyl-2-oxobutanoate hydroxymethyltransferase,ALW85_RS00410(10),BioCyc
ALW85_RS05020-MONOMER,cytochrome c554,ALW85_RS05020(),BioCyc
ALW85_RS11595-MONOMER,leucyl/phenylalanyl-tRNA--protein transferase,ALW85_RS11595(),BioCyc
ALW85_RS01885-MONOMER,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH,ALW85_RS01885(2),BioCyc
