,name,genes,source
FY484_RS16030-MONOMER,GNAT family N-acetyltransferase,VC_A0417(),BioCyc
FY484_RS08410-MONOMER,tripartite efflux pump periplasmic adaptor protein,VC_1674(),BioCyc
FY484_RS18120-MONOMER,LysR family transcriptional regulator,VC_A0833(),BioCyc
FY484_RS09810-MONOMER,WHG domain-containing protein,VC_1965(),BioCyc
FY484_RS02340-MONOMER,ApaG-domain containing protein,apaG(),BioCyc
FY484_RS11785-MONOMER,aerobic respiration two-component sensor histidine kinase ArcB,arcB(),BioCyc
FY484_RS04405-MONOMER,outer membrane protein assembly factor BamE,bamE(),BioCyc
FY484_RS13785-MONOMER,ATP synthase F<sub>1</sub> complex subunit &gamma;,atpG(),BioCyc
FY484_RS06380-MONOMER,"putative transporter, major facilitator superfamily",FY484_RS06380(),BioCyc
FY484_RS00105-MONOMER,glycine--tRNA ligase subunit alpha,glyQ(),BioCyc
FY484_RS15915-MONOMER,hypothetical protein,VC_A0399(),BioCyc
FY484_RS08330-MONOMER,"ABC-type efflux pump, periplasmic adaptor protein",VC_1659(),BioCyc
FY484_RS18035-MONOMER,arginine decarboxylase,speA(),BioCyc
FY484_RS02255-MONOMER,hypothetical protein,VC_0425(),BioCyc
FY484_RS11705-MONOMER,TatD family hydrolase,VC_2353(),BioCyc
FY484_RS04315-MONOMER,toxin-coregulated pilus assembly ATPase TcpT,tcpT(),BioCyc
FY484_RS06290-MONOMER,succinylglutamate desuccinylase,VC_1242(1),BioCyc
FY484_RS00015-MONOMER,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,mnmE(),BioCyc
FY484_RS15800-MONOMER,GNAT family N-acetyltransferase,VC_A0382(),BioCyc
FY484_RS08240-MONOMER,sensor histidine kinase,VC_1639(),BioCyc
FY484_RS17945-MONOMER,recombinase family protein,VC_A0795(),BioCyc
FY484_RS02175-MONOMER,"mannose-sensitive hemagglutinin, type IVa major pilin",mshA(),BioCyc
FY484_RS11625-MONOMER,substrate-binding domain-containing protein,VC_2337(),BioCyc
FY484_RS04220-MONOMER,type II toxin-antitoxin system HipA family toxin,VC_0815(),BioCyc
FY484_RS06200-MONOMER,phenylalanine--tRNA ligase subunit beta,pheT(),BioCyc
FY484_RS13570-MONOMER,type II secretion system secretin GspD,gspD(),BioCyc
FY484_RS00580-MONOMER,Der GTPase-activating protein YihI,yihI(),BioCyc
FY484_RS15685-MONOMER,hypothetical protein,VC_A0361(),BioCyc
FY484_RS08155-MONOMER,OmpA family protein,VC_1622(),BioCyc
FY484_RS17875-MONOMER,nucleotide sugar dehydrogenase,VC_A0780(1),BioCyc
FY484_RS18870-MONOMER,glutaredoxin 2,grxB(),BioCyc
FY484_RS02095-MONOMER,oligosaccharyltransferase,VC_0393(),BioCyc
FY484_RS11545-MONOMER,DUF2850 domain-containing protein,VC_2314(),BioCyc
FY484_RS04135-MONOMER,citrate lyase acyl carrier protein,citD(),BioCyc
FY484_RS06100-MONOMER,urocanate hydratase,VC_1203(),BioCyc
FY484_RS13485-MONOMER,RNA-binding transcriptional accessory protein,VC_2716(),BioCyc
FY484_RS13470-MONOMER,two-component system histidine kinase EnvZ,envZ(),BioCyc
FY484_RS10480-MONOMER,flavodoxin FldA,fldA(),BioCyc
FY484_RS15560-MONOMER,DUF3265 domain-containing protein,FY484_RS15560(),BioCyc
FY484_RS12035-MONOMER,flavodoxin FldB,fldB(),BioCyc
FY484_RS08055-MONOMER,transporter substrate-binding domain-containing protein,VC_1603(),BioCyc
FY484_RS17390-MONOMER,periplasmic nitrate reductase cytochome <i>c</i> protein,napC(),BioCyc
FY484_RS17765-MONOMER,arginine ABC transporter membrane protein,artM(),BioCyc
FY484_RS01970-MONOMER,replicative DNA helicase,dnaB(),BioCyc
FY484_RS11445-MONOMER,Na<sup>+</sup>-translocating NADH:ubiquinone oxidoreductase subunit D,nqrD(),BioCyc
FY484_RS04040-MONOMER,ferric-catecholate ABC transporter substrate-binding lipoprotein,viuP(),BioCyc
FY484_RS06000-MONOMER,thioredoxin-disulfide reductase,trxB(),BioCyc
FY484_RS13385-MONOMER,tRNA (uridine(34)/cytosine(34)/5- carboxymethylaminomethyluridine(34)-2'-O)- methyltransferase TrmL,trmL(),BioCyc
FY484_RS15460-MONOMER,hypothetical protein,VC_A0329a(),BioCyc
FY484_RS07965-MONOMER,"&alpha;-acetolactate synthase, transcriptional regulator",alsR(),BioCyc
FY484_RS01905-MONOMER,sulfurtransferase complex subunit TusC,tusC(),BioCyc
FY484_RS17670-MONOMER,GIY-YIG nuclease family protein,VC_A0739(),BioCyc
FY484_RS11365-MONOMER,sigma factor-binding protein Crl,crl(),BioCyc
FY484_RS03955-MONOMER,flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase,ispG(),BioCyc
FY484_RS13305-MONOMER,DNA-binding transcriptional regulator,cytR(),BioCyc
FY484_RS05935-MONOMER,"putative transporter, dicarboxylate/amino acid:cation symporter family",VC_1168(),BioCyc
FY484_RS15355-MONOMER,hypothetical protein,FY484_RS15355(),BioCyc
FY484_RS07880-MONOMER,cytochrome <i>bd</i>-III ubiquinol oxidase subunit II,VC_1570(),BioCyc
FY484_RS01785-MONOMER,oligoribonuclease,orn(),BioCyc
FY484_RS00350-MONOMER,sulfur carrier protein ThiS,thiS(),BioCyc
FY484_RS17585-MONOMER,hypothetical protein,VC_A0722(),BioCyc
FY484_RS19540-MONOMER,hypothetical protein,FY484_RS19540(),BioCyc
