,name,genes,source
CLJU_RS07890-MONOMER,indole-3-glycerol phosphate synthase TrpC,CLJU_c16100(1),BioCyc
CLJU_RS13140-MONOMER,biotin--[acetyl-CoA-carboxylase] ligase,CLJU_c26660(),BioCyc
CLJU_RS16455-MONOMER,"GTP 3',8-cyclase MoaA",CLJU_c33380(),BioCyc
CLJU_RS02010-MONOMER,DEAD/DEAH box helicase,CLJU_c04110(),BioCyc
CLJU_RS19865-MONOMER,trimeric intracellular cation channel family protein,CLJU_c40340(),BioCyc
CLJU_RS06405-MONOMER,ribosome recycling factor,CLJU_c13050(1),BioCyc
CLJU_RS17740-MONOMER,hypothetical protein,CLJU_c36060(),BioCyc
CLJU_RS10595-MONOMER,electron transfer flavoprotein subunit alpha,CLJU_c21580(),BioCyc
CLJU_RS03585-MONOMER,cell division topological specificity factor MinE,CLJU_c07280(),BioCyc
CLJU_RS18030-MONOMER,hypothetical protein,CLJU_c36640(),BioCyc
CLJU_RS03995-MONOMER,DNA repair protein RecO,CLJU_c08110(),BioCyc
CLJU_RS11840-MONOMER,XdhC family protein,CLJU_c24070(),BioCyc
CLJU_RS22525-MONOMER,hypothetical protein,CLJU_c00460(),BioCyc
CLJU_RS14130-MONOMER,hypothetical protein,CLJU_c28640(),BioCyc
CLJU_RS14815-MONOMER,amidohydrolase,CLJU_c30030(),BioCyc
CLJU_RS12820-MONOMER,molybdate ABC transporter substrate-binding protein,CLJU_c26020(),BioCyc
CLJU_RS05795-MONOMER,histidinol phosphate phosphatase,CLJU_c11810(),BioCyc
CLJU_RS21700-MONOMER,IS3 family transposase,CLJU_RS21700(),BioCyc
CLJU_RS17460-MONOMER,YitT family protein,CLJU_c35460(),BioCyc
CLJU_RS17000-MONOMER,putative sporulation protein YtxC,CLJU_c34480(),BioCyc
CLJU_RS21105-MONOMER,spore protease YyaC,CLJU_c42840(),BioCyc
CLJU_RS17185-MONOMER,sugar ABC transporter ATP-binding protein,CLJU_c34860(),BioCyc
CLJU_RS08975-MONOMER,sugar porter family MFS transporter,CLJU_c18280(1),BioCyc
CLJU_RS11170-MONOMER,ECF transporter S component,CLJU_c22700(),BioCyc
CLJU_RS21240-MONOMER,site-specific integrase,CLJU_c09810(),BioCyc
CLJU_RS09490-MONOMER,AEC family transporter,CLJU_c19370(),BioCyc
CLJU_RS18560-MONOMER,NifB/NifX family molybdenum-iron cluster-binding protein,CLJU_c37690(),BioCyc
CLJU_RS01440-MONOMER,YegS/Rv2252/BmrU family lipid kinase,CLJU_c02940(),BioCyc
