Proteins	Common-Name	Genes of polypeptide, complex, or RNA	Locations
FY484_RS16030-MONOMER	GNAT family N-acetyltransferase	FY484_RS16030	
FY484_RS08410-MONOMER	tripartite efflux pump periplasmic adaptor protein	FY484_RS08410	CCO-MEMBRANE
FY484_RS18120-MONOMER	LysR family transcriptional regulator	FY484_RS18120	
FY484_RS09810-MONOMER	WHG domain-containing protein	FY484_RS09810	
FY484_RS02340-MONOMER	ApaG-domain containing protein	FY484_RS02340	
FY484_RS11785-MONOMER	aerobic respiration two-component sensor histidine kinase ArcB	FY484_RS11785	CCI-PM-BAC-NEG-GN
FY484_RS04405-MONOMER	outer membrane protein assembly factor BamE	FY484_RS04405	CCI-OUTER-MEM-GN
FY484_RS13785-MONOMER	ATP synthase F<sub>1</sub> complex subunit &gamma;	FY484_RS13785	CCI-PM-BAC-NEG-GN
FY484_RS06380-MONOMER	putative transporter, major facilitator superfamily	FY484_RS06380	
FY484_RS00105-MONOMER	glycine--tRNA ligase subunit alpha	FY484_RS00105	CCI-CYTOSOL-GN
FY484_RS15915-MONOMER	hypothetical protein	FY484_RS15915	
FY484_RS08330-MONOMER	ABC-type efflux pump, periplasmic adaptor protein	FY484_RS08330	
FY484_RS18035-MONOMER	arginine decarboxylase	FY484_RS18035	
FY484_RS02255-MONOMER	hypothetical protein	FY484_RS02255	
FY484_RS11705-MONOMER	TatD family hydrolase	FY484_RS11705	CCI-CYTOSOL-GN
FY484_RS04315-MONOMER	toxin-coregulated pilus assembly ATPase TcpT	FY484_RS04315	CCI-CYTOSOL-GN
FY484_RS06290-MONOMER	succinylglutamate desuccinylase	FY484_RS06290	CCI-CYTOSOL-GN
FY484_RS00015-MONOMER	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	FY484_RS00015	CCI-CYTOSOL-GN
FY484_RS15800-MONOMER	GNAT family N-acetyltransferase	FY484_RS15800	
FY484_RS08240-MONOMER	sensor histidine kinase	FY484_RS08240	CCI-PM-BAC-NEG-GN
FY484_RS17945-MONOMER	recombinase family protein	FY484_RS17945	
FY484_RS02175-MONOMER	mannose-sensitive hemagglutinin, type IVa major pilin	FY484_RS02175	CCO-MEMBRANE
FY484_RS11625-MONOMER	substrate-binding domain-containing protein	FY484_RS11625	
FY484_RS04220-MONOMER	type II toxin-antitoxin system HipA family toxin	FY484_RS04220	CCI-CYTOSOL-GN
FY484_RS06200-MONOMER	phenylalanine--tRNA ligase subunit beta	FY484_RS06200	CCI-CYTOSOL-GN
FY484_RS13570-MONOMER	type II secretion system secretin GspD	FY484_RS13570	
FY484_RS00580-MONOMER	Der GTPase-activating protein YihI	FY484_RS00580	
FY484_RS15685-MONOMER	hypothetical protein	FY484_RS15685	
FY484_RS08155-MONOMER	OmpA family protein	FY484_RS08155	CCI-OUTER-MEM-GN
FY484_RS17875-MONOMER	nucleotide sugar dehydrogenase	FY484_RS17875	
FY484_RS18870-MONOMER	glutaredoxin 2	FY484_RS18870	CCI-CYTOSOL-GN
FY484_RS02095-MONOMER	oligosaccharyltransferase	FY484_RS02095	CCO-MEMBRANE
FY484_RS11545-MONOMER	DUF2850 domain-containing protein	FY484_RS11545	CCO-MEMBRANE
FY484_RS04135-MONOMER	citrate lyase acyl carrier protein	FY484_RS04135	CCI-CYTOSOL-GN
FY484_RS06100-MONOMER	urocanate hydratase	FY484_RS06100	CCI-CYTOSOL-GN
FY484_RS13485-MONOMER	RNA-binding transcriptional accessory protein	FY484_RS13485	CCI-CYTOSOL-GN
FY484_RS13470-MONOMER	two-component system histidine kinase EnvZ	FY484_RS13470	CCI-PM-BAC-NEG-GN
FY484_RS10480-MONOMER	flavodoxin FldA	FY484_RS10480	
FY484_RS15560-MONOMER	DUF3265 domain-containing protein	FY484_RS15560	
FY484_RS12035-MONOMER	flavodoxin FldB	FY484_RS12035	
FY484_RS08055-MONOMER	transporter substrate-binding domain-containing protein	FY484_RS08055	
FY484_RS17390-MONOMER	periplasmic nitrate reductase cytochome <i>c</i> protein	FY484_RS17390	CCI-PM-BAC-NEG-GN
FY484_RS17765-MONOMER	arginine ABC transporter membrane protein	FY484_RS17765	CCI-PM-BAC-NEG-GN
FY484_RS01970-MONOMER	replicative DNA helicase	FY484_RS01970	CCI-CYTOSOL-GN
FY484_RS11445-MONOMER	Na<sup>+</sup>-translocating NADH:ubiquinone oxidoreductase subunit D	FY484_RS11445	CCI-PM-BAC-NEG-GN
FY484_RS04040-MONOMER	ferric-catecholate ABC transporter substrate-binding lipoprotein	FY484_RS04040	CCI-PERI-BAC-GN
FY484_RS06000-MONOMER	thioredoxin-disulfide reductase	FY484_RS06000	CCI-CYTOSOL-GN
FY484_RS13385-MONOMER	tRNA (uridine(34)/cytosine(34)/5- carboxymethylaminomethyluridine(34)-2'-O)- methyltransferase TrmL	FY484_RS13385	CCI-CYTOSOL-GN
FY484_RS15460-MONOMER	hypothetical protein	FY484_RS15460	
FY484_RS07965-MONOMER	&alpha;-acetolactate synthase, transcriptional regulator	FY484_RS07965	
FY484_RS01905-MONOMER	sulfurtransferase complex subunit TusC	FY484_RS01905	CCI-CYTOSOL-GN
FY484_RS17670-MONOMER	GIY-YIG nuclease family protein	FY484_RS17670	
FY484_RS11365-MONOMER	sigma factor-binding protein Crl	FY484_RS11365	CCI-CYTOSOL-GN
FY484_RS03955-MONOMER	flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	FY484_RS03955	
FY484_RS13305-MONOMER	DNA-binding transcriptional regulator	FY484_RS13305	
FY484_RS05935-MONOMER	putative transporter, dicarboxylate/amino acid:cation symporter family	FY484_RS05935	CCI-PM-BAC-NEG-GN
FY484_RS15355-MONOMER	hypothetical protein	FY484_RS15355	
FY484_RS07880-MONOMER	cytochrome <i>bd</i>-III ubiquinol oxidase subunit II	FY484_RS07880	CCI-PM-BAC-NEG-GN
FY484_RS01785-MONOMER	oligoribonuclease	FY484_RS01785	CCI-CYTOSOL-GN
FY484_RS00350-MONOMER	sulfur carrier protein ThiS	FY484_RS00350	
FY484_RS17585-MONOMER	hypothetical protein	FY484_RS17585	
FY484_RS19540-MONOMER	hypothetical protein	FY484_RS19540	
FY484_RS11285-MONOMER	UMP kinase	FY484_RS11285	CCI-CYTOSOL-GN
FY484_RS03875-MONOMER	Na<sup>+</sup>-dependent protein translocation factor, SecD protein	FY484_RS03875	CCI-PM-BAC-NEG-GN
FY484_RS13220-MONOMER	elongation factor P	FY484_RS13220	CCI-CYTOSOL-GN
FY484_RS05855-MONOMER	putative transporter	FY484_RS05855	CCI-PM-BAC-NEG-GN
FY484_RS15255-MONOMER	DUF3265 domain-containing protein	FY484_RS15255	
FY484_RS07800-MONOMER	glycerol-3-phosphate ABC transporter membrane protein	FY484_RS07800	CCI-PM-BAC-NEG-GN
FY484_RS01705-MONOMER	50S ribosomal protein L1	FY484_RS01705	CCI-RIBOSOME-GN
FY484_RS17505-MONOMER	histidine kinase	FY484_RS17505	CCO-MEMBRANE
FY484_RS09765-MONOMER	LysR family transcriptional regulator	FY484_RS09765	
FY484_RS19440-MONOMER	hypothetical protein	FY484_RS19440	
FY484_RS11205-MONOMER	cytochrome c	FY484_RS11205	
FY484_RS03790-MONOMER	exopolyphosphatase	FY484_RS03790	CCI-PM-BAC-NEG-GN
FY484_RS13140-MONOMER	argininosuccinate lyase	FY484_RS13140	CCI-CYTOSOL-GN
FY484_RS05775-MONOMER	bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase HisB	FY484_RS05775	CCI-CYTOSOL-GN
FY484_RS15145-MONOMER	site-specific integrase	FY484_RS15145	
FY484_RS07720-MONOMER	methyl-accepting chemotaxis protein	FY484_RS07720	
FY484_RS01575-MONOMER	ATP-dependent RNA helicase RhlB	FY484_RS01575	CCI-CYTOSOL-GN
FY484_RS17425-MONOMER	hexose-6-phosphate ABC transporter membrane protein	FY484_RS17425	CCI-PM-BAC-NEG-GN
FY484_RS09670-MONOMER	CDP-alcohol phosphatidyltransferase family protein	FY484_RS09670	CCO-MEMBRANE
FY484_RS19355-MONOMER	ABC transporter nickel-binding protein	FY484_RS19355	CCI-PERI-BAC-GN // CCI-PM-BAC-NEG-GN
FY484_RS11125-MONOMER	sensor domain-containing diguanylate cyclase	FY484_RS11125	
FY484_RS03685-MONOMER	cyclic-guanylate-specific phosphodiesterase MbaA	FY484_RS03685	CCI-PM-BAC-NEG-GN
FY484_RS13060-MONOMER	phosphoglycolate phosphatase	FY484_RS13060	CCI-CYTOSOL-GN
FY484_RS05695-MONOMER	SDR family oxidoreductase	FY484_RS05695	
FY484_RS15060-MONOMER	MerR family transcriptional regulator	FY484_RS15060	
FY484_RS07635-MONOMER	DUF3305 domain-containing protein	FY484_RS07635	
FY484_RS04595-MONOMER	tRNA 4-thiouridine(8) synthase ThiI	FY484_RS04595	CCI-CYTOSOL-GN
FY484_RS01485-MONOMER	putative transporter, gluconate:H<sup>+</sup> symporter family	FY484_RS01485	CCI-PM-BAC-NEG-GN
FY484_RS05240-MONOMER	molybdopterin synthase sulfur carrier subunit	FY484_RS05240	
FY484_RS17335-MONOMER	L-serine ammonia-lyase	FY484_RS17335	
FY484_RS09580-MONOMER	(d)CMP kinase	FY484_RS09580	CCI-CYTOSOL-GN
FY484_RS19275-MONOMER	transglutaminase-like cysteine peptidase	FY484_RS19275	
FY484_RS11040-MONOMER	flagellar assembly lipoprotein FlgP	FY484_RS11040	
FY484_RS03605-MONOMER	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	FY484_RS03605	
FY484_RS12980-MONOMER	glutathione-regulated potassium-efflux system ancillary protein KefG	FY484_RS12980	CCI-PM-BAC-NEG-GN
FY484_RS05610-MONOMER	ABC transporter substrate-binding protein	FY484_RS05610	
FY484_RS14975-MONOMER	L-ribulose-5-phosphate 4-epimerase	FY484_RS14975	CCI-CYTOSOL-GN
FY484_RS07555-MONOMER	PqiB family protein	FY484_RS07555	CCO-MEMBRANE
FY484_RS01400-MONOMER	YjaG family protein	FY484_RS01400	
FY484_RS17250-MONOMER	NRDE family protein	FY484_RS17250	
FY484_RS09500-MONOMER	DUF1887 family protein	FY484_RS09500	
FY484_RS07125-MONOMER	type VI secretion system effector protein/putative lipase TseL	FY484_RS07125	CCI-EXTRACELLULAR-GN
FY484_RS19195-MONOMER	putrescine:ornithine antiporter	FY484_RS19195	CCI-PM-BAC-NEG-GN
FY484_RS13930-MONOMER	type VI secretion system, effector toxin VasX	FY484_RS13930	CCI-EXTRACELLULAR-GN // CCO-MEMBRANE
FY484_RS10960-MONOMER	flagellar hook-associated protein FlgL	FY484_RS10960	CCI-EXTRACELLULAR-GN // CCO-CELL-PROJECTION
FY484_RS14415-MONOMER	type VI secretion system, peptidoglycan hydrolase/tip protein	FY484_RS14415	CCI-EXTRACELLULAR-GN
FY484_RS03525-MONOMER	NADP(H)-dependent aldo-keto reductase	FY484_RS03525	
FY484_RS12895-MONOMER	50S ribosomal protein L22	FY484_RS12895	CCI-RIBOSOME-GN
FY484_RS05530-MONOMER	H-NOX system histidine kinase	FY484_RS05530	
FY484_RS14895-MONOMER	ferric-catecholate ABC transporter substrate-binding protein	FY484_RS14895	CCI-PERI-BAC-GN
FY484_RS07475-MONOMER	ribosome modulation factor	FY484_RS07475	CCI-CYTOSOL-GN
FY484_RS01290-MONOMER	putative O-antigen polymerase	FY484_RS01290	
FY484_RS17165-MONOMER	NUDIX domain-containing protein	FY484_RS17165	
EG50003-MONOMER	acyl carrier protein		
