Proteins	Genes of polypeptide, complex, or RNA	Common-Name	Locations
HP_RS07395-MONOMER	HP_RS07395	TPR_REGION domain-containing protein	
HP_RS01295-MONOMER	HP_RS01295	inactive Type IIP restriction-modification system M protein	CCI-CYTOSOL-GN
HP_RS03285-MONOMER	HP_RS03285	anaerobic glycerol-3-phosphate dehydrogenase	
HP_RS05335-MONOMER	HP_RS05335	Hypothetical protein HP1085	
HP_RS07315-MONOMER	HP_RS07315	Flagellar basal body P-ring biosynthesis protein FlgA	CCI-PERI-BAC-GN
HP_RS01200-MONOMER	HP_RS01200	FlgR histidine kinase FlgS	
HP_RS03205-MONOMER	HP_RS03205	Family 4 uracil-DNA glycosylase	
HP_RS05255-MONOMER	HP_RS05255	Ribosomal protein L11 methyltransferase	CCI-CYTOSOL-GN
HP_RS07235-MONOMER	HP_RS07235	cytochrome <i>c</i><sub>553</sub> peroxidase	CCI-PERI-BAC-GN
HP_RS01110-MONOMER	HP_RS01110	outer membrane protein HopM	
HP_RS03120-MONOMER	HP_RS03120	Quinone-reactive Ni/Fe hydrogenase HydC	CCI-PM-BAC-NEG-GN
HP_RS05170-MONOMER	HP_RS05170	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	
HP_RS07155-MONOMER	HP_RS07155	MotA/TolQ/ExbB family protein	CCI-PM-BAC-NEG-GN
HP_RS01030-MONOMER	HP_RS01030	Chaperone protein HtpG	CCI-CYTOSOL-GN
HP_RS03040-MONOMER	HP_RS03040	Adenylate kinase	CCI-CYTOSOL-GN
HP_RS05090-MONOMER	HP_RS05090	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase	
HP_RS07065-MONOMER	HP_RS07065	Ribosomal RNA large subunit methyltransferase N	CCI-CYTOSOL-GN
HP_RS00935-MONOMER	HP_RS00935	fumarate reductase flavoprotein subunit FrdA	CCI-PM-BAC-NEG-GN
HP_RS02955-MONOMER	HP_RS02955	methyl-accepting chemotaxis protein TlpD	CCO-MEMBRANE
HP_RS05010-MONOMER	HP_RS05010	Bifunctional 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase/2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	
HP_RS06980-MONOMER	HP_RS06980	Hypothetical protein HP1411	
HP_RS00850-MONOMER	HP_RS00850	uncharacterized protein	CCO-MEMBRANE
HP_RS02870-MONOMER	HP_RS02870	flagellar biosynthesis protein FliO	CCO-MEMBRANE
HP_RS04895-MONOMER	HP_RS04895	Putative transposase TnpB	
HP_RS06880-MONOMER	HP_RS06880	Fibronectin/fibrinogen-binding protein	
HP_RS00770-MONOMER	HP_RS00770	AMIN domain-containing protein	
HP_RS02790-MONOMER	HP_RS02790	autoinducer-2 exporter	CCI-PM-BAC-NEG-GN
HP_RS04800-MONOMER	HP_RS04800	Exodeoxyribonuclease VII large subunit	
HP_RS06800-MONOMER	HP_RS06800	flagellar assembly protein FliW	CCI-CYTOSOL-GN
HP_RS00685-MONOMER	HP_RS00685	putative NAD-dependent lactate dehydrogenase subunit HP0139	CCI-CYTOSOL-GN
HP_RS02710-MONOMER	HP_RS02710	Transcription termination factor Rho	
HP_RS00280-MONOMER	HP_RS00280	proline:Na<sup>+</sup> symporter	CCI-PM-BAC-NEG-GN
HP_RS04710-MONOMER	HP_RS04710	acyl carrier protein	
HP_RS06715-MONOMER	HP_RS06715	Predicted coding region HP1359	
HP_RS00605-MONOMER	HP_RS00605	Histone-like DUF874 family protein HP0119	
HP_RS02620-MONOMER	HP_RS02620	Cag T4SS protein CagT	CCI-PM-BAC-NEG-GN
HP_RS00195-MONOMER	HP_RS00195	PDZ domain-containing protein	
HP_RS04630-MONOMER	HP_RS04630	putative transporter, Na<sup>+</sup>:H<sup>+</sup> antiporter (NhaC) family	CCI-PM-BAC-NEG-GN
HP_RS06620-MONOMER	HP_RS06620	energy-transducing Ton complex subunit TonB	CCI-PM-BAC-NEG-GN // CCI-PERI-BAC-GN
HP_RS00520-MONOMER	HP_RS00520	<i>H. pylroi</i> LPS trisaccharide &beta;-(1,3)-fucosyltransferase	
HP_RS02540-MONOMER	HP_RS02540	ATP-dependent protease subunit HslV	CCI-CYTOSOL-GN
HP_RS00115-MONOMER	HP_RS00115	chemotaxis protein CheV1	
HP_RS04515-MONOMER	HP_RS04515	tRNA pseudouridine synthase D	CCI-CYTOSOL-GN
HP_RS06540-MONOMER	HP_RS06540	Fumarate hydratase FumC	CCI-CYTOSOL-GN
HP_RS00430-MONOMER	HP_RS00430	Hypothetical protein HP0085	CCO-MEMBRANE
HP_RS02450-MONOMER	HP_RS02450	Hypothetical protein HP0495	
HP_RS00005-MONOMER	HP_RS00005	Transcription antitermination protein NusB	CCI-CYTOSOL-GN
HP_RS04430-MONOMER	HP_RS04430	hook-cap foldase FlgD	CCO-CELL-PROJECTION
HP_RS06460-MONOMER	HP_RS06460	50S ribosomal protein L14	CCI-RIBOSOME-GN
HP_RS00345-MONOMER	HP_RS00345	urease accessory protein GTPase UreG	CCI-CYTOSOL-GN
HP_RS02360-MONOMER	HP_RS02360	outer membrane protein HopJ	
HP_RS02345-MONOMER	HP_RS02345	molybdate ABC transporter, membrane subunit	CCI-PM-BAC-NEG-GN
HP_RS04310-MONOMER	HP_RS04310	Hypothetical protein HP0884	
HP_RS06365-MONOMER	HP_RS06365	putative transporter, nicotinamide ribonucleoside uptake permease (PnuC) family	CCO-MEMBRANE
HP_RS02265-MONOMER	HP_RS02265	ICEHptfs3 protein C18	CCO-MEMBRANE
HP_RS06285-MONOMER	HP_RS06285	Paralysed flagella protein PlfA	
