,name,genes,source
YPO0001-MONOMER,FMN-binding protein MioC,YPO0001(),GenBank
YPO0002-MONOMER,transcriptional regulator AsnC,YPO0002(),GenBank
YPO0003-MONOMER,aspartate--ammonia ligase,YPO0003(2),GenBank
YPO0004-MONOMER,ATPase RavA stimulator ViaA,YPO0004(),GenBank
YPO0005-MONOMER,ATPase RavA,YPO0005(),GenBank
YPO0006-MONOMER,low affinity potassium transporter Kup,YPO0006(1),GenBank
YPO0007-MONOMER,D-ribose pyranase,YPO0007(),GenBank
YPO0008-MONOMER,ribokinase,YPO0008(2),GenBank
YPO_RS01050-MONOMER,hypothetical protein,YPO_RS01050(),GenBank
YPO0009-MONOMER,multidrug transporter subunit MdtD,YPO0009(),GenBank
YPO0010-MONOMER,FadR/GntR family transcriptional regulator,YPO0010(),GenBank
YPO0011-MONOMER,IS256 family transposase,YPO0011(),GenBank
YPO0012-MONOMER,molybdopterin-guanine dinucleotide biosynthesis protein MobB,YPO0012(),GenBank
YPO0013-MONOMER,molybdenum cofactor guanylyltransferase MobA,YPO0013(1),GenBank
YPO0013a-MONOMER,YihD family protein,YPO0013a(),GenBank
YPO0014-MONOMER,serine/threonine protein kinase,YPO0014(),GenBank
YPO0015-MONOMER,thiol:disulfide interchange protein DsbA,YPO0015(1),GenBank
YPO0017-MONOMER,DNA polymerase I,YPO0017(),GenBank
YPO0018-MONOMER,IS200/IS605-like element IS1541B family transposase,YPO0018(),GenBank
YPO0019-MONOMER,ribosome biogenesis GTP-binding protein YihA/YsxC,YPO0019(),GenBank
YPO0020-MONOMER,Der GTPase-activating protein YihI,YPO0020(),GenBank
YPO0021-MONOMER,oxygen-independent coproporphyrinogen III oxidase,YPO0021(1),GenBank
YPO0022-MONOMER,nitrogen regulation protein NR(I),YPO0022(),GenBank
YPO0023-MONOMER,nitrogen regulation protein NR(II),YPO0023(),GenBank
YPO0024-MONOMER,glutamate--ammonia ligase,YPO0024(12),GenBank
YPO0026-MONOMER,ribosome-dependent GTPase TypA,YPO0026(),GenBank
YPO0027-MONOMER,glucose-1-phosphatase,YPO0027(),GenBank
YPO0028-MONOMER,virulence factor BrkB family protein,YPO0028(),GenBank
YPO0029-MONOMER,D-aminoacyl-tRNA deacylase,YPO0029(),GenBank
YPO0030-MONOMER,IS21-like element IS100kyp family helper ATPase IstB,YPO0030(),GenBank
YPO0031-MONOMER,IS21-like element IS100 family transposase,YPO0031(),GenBank
YPO0032-MONOMER,fatty acid biosynthesis protein FabY,YPO0032(),GenBank
YPO0033-MONOMER,hypothetical protein,YPO0033(),GenBank
YPO0034-MONOMER,uracil-xanthine permease family protein,YPO0034(1),GenBank
YPO0035-MONOMER,sodium/glutamate symporter,YPO0035(1),GenBank
YPO_RS01210-MONOMER,gluconate 5-dehydrogenase,YPO_RS01210(),GenBank
YPO0036-MONOMER,ATP-dependent DNA helicase RecG,YPO0036(),GenBank
YPO0037-MONOMER,tRNA (guanosine(18)-2'-O)-methyltransferase TrmH,YPO0037(2),GenBank
YPO0038-MONOMER,"bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase",YPO0038(1),GenBank
YPO0039-MONOMER,DNA-directed RNA polymerase subunit omega,YPO0039(1),GenBank
YPO0040-MONOMER,guanylate kinase,YPO0040(2),GenBank
YPO0041-MONOMER,NAD-dependent DNA ligase LigB,YPO0041(),GenBank
YPO0042-MONOMER,trimeric intracellular cation channel family protein,YPO0042(),GenBank
YPO0043-MONOMER,YicC family protein,YPO0043(),GenBank
YPO0044-MONOMER,ribonuclease PH,YPO0044(1),GenBank
YPO0045-MONOMER,orotate phosphoribosyltransferase,YPO0045(2),GenBank
YPO0046-MONOMER,nucleoid occlusion factor SlmA,YPO0046(),GenBank
YPO0047-MONOMER,dUTP diphosphatase,YPO0047(3),GenBank
YPO0048-MONOMER,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,YPO0048(12),GenBank
YPO0049-MONOMER,DNA repair protein RadC,YPO0049(),GenBank
YPO0050-MONOMER,50S ribosomal protein L28,YPO0050(1),GenBank
YPO0051-MONOMER,50S ribosomal protein L33,YPO0051(1),GenBank
YPO0052-MONOMER,bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase,YPO0052(),GenBank
YPO0053-MONOMER,pantetheine-phosphate adenylyltransferase,YPO0053(6),GenBank
YPO0054-MONOMER,glycosyltransferase family 2 protein,YPO0054(),GenBank
