complex_id,name,genes,mod,replace
CPLX-tRNA-GLU-LIGASE,tRNA-Glu ligase,S2605(1),,
CPLX-tRNA-GLY-LIGASE,tRNA-Gly ligase,S4166(2) AND S4165(2),,
CPLX_14GLUCANabcpp-0,"1,4-alpha-D-glucan transport via ABC system (periplasm)",S3560(1) AND S3561(2) AND S3559(1) AND S3558(1),,
CPLX_ACCOAC-0,Acetyl-CoA carboxylase,S3510(2) AND S2527(2) AND S0178(2) AND S3511(2),,
CPLX_ACGAptspp-0,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm),S2616(1) AND S2618(1) AND S1185(2) AND S2617(2),,
CPLX_ACGAptspp-1,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm),S2616(1) AND S2617(2) AND S0625(2),,
CPLX_3PEPTabcpp-0,Tripeptide (LalaDgluMdap) transport via ABC system (periplasm),S1332(1) AND S1331(1) AND S1334(1) AND S1333(1) AND S1424(1),,
CPLX_ACHBS-0,2-aceto-2-hydroxybutanoate synthase,S3978(2) AND S3977(2),,
CPLX_ACHBS-1,2-aceto-2-hydroxybutanoate synthase,S0075(2) AND S0074(2),,
CPLX_4PEPTabcpp-0,Tetrapeptide (LalaDgluMdapDala) transport via ABC system (periplasm),S1332(1) AND S1331(1) AND S1334(1) AND S1333(1) AND S1330(1),,
CPLX_ACMANAptspp-0,N-acetyl-D-mannosamine transport via PTS  (periplasm),S2616(1) AND S1525(2) AND S2617(2) AND S1526(1) AND S1524(1),,
CPLX_ACMUMptspp-0,N-acetylmuramate transport via PEP:Pyr PTS (periplasm),S2616() AND S2630() AND S2618() AND S2617(),,
CPLX_AACPS1-0,Acyl-[acyl-carrier-protein] synthetase (n-C14:0),S3044() AND S1178(),,
CPLX_ACOATA-0,Acetyl-CoA ACP transacylase,S1178() AND S1175(),,
CPLX_ACOLIPAabctex-0,Arabinose modified core oligosaccharide lipid A transport via ABC system (periplasm to extracellular),S4489() AND S4488() AND S3459(2) AND S3457() AND S3458(),,
CPLX_ACPPAT120-0,Acyl-(acyl carrier protein):phosphate acyltransferase (C12:0),S1178() AND S1174(),,
CPLX_ADCS-0,4-amino-4-deoxychorismate synthase,S4384(1) AND S1531(1),,
CPLX_ALAabcpp-0,L-alanine transport via ABC system (periplasm),S4285(1) AND S4289(1) AND S4288(1) AND S4291(1) AND S4290(1),,
CPLX_ALPATE160pp-0,"Apolipoprotein N-acyltransferase (phosphatidylethanolamine, periplasm)",S0647() AND S1839(),,
CPLX_ADOCBLabcpp-0,Adenosylcobalamin transport via ABC system (periplasm),S1639(2) AND S0153(1) AND S1637(2),,
CPLX_ADOCBLtonex-0,Adenosylcobalimin transport via ton system (extermal),S3696() AND S1341() AND S3253() AND S3254(),,
CPLX_ANS-0,Anthranilate synthase,S1352(2) AND S1353(2),,
CPLX_AGt3-0,Silver transport out via proton antiport,S0481() AND S0482() AND S0490(),,
CPLX_AKGDH-0,2-Oxogluterate dehydrogenase,S0584(12) AND S0115(2) AND S0583(24),,
CPLX_ALAALAabcpp-0,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),S4195(1) AND S4194(1) AND S4193(1) AND S4192(1) AND S4191(1),,
CPLX_ARBTNabcpp-0,Aerobactin transport via ABC system (periplasm),S0147(1) AND S0146(2) AND S0148(2),,
CPLX_ARBTptspp-0,Arbutin transport via PEP:Pyr PTS (periplasm),S2616(1) AND S2617(2) AND S4039(2),,
CPLX_BWCOGDS1-0,Tungsten bispterin guanine dinucleotide synthase (single GDP),S3820() AND S3819(),,
CPLX_ARGabcpp-0,L-arginine transport via ABC system (periplasm),S2519(1) AND S2521(1) AND S2518(1) AND S2517(2),,
CPLX_ARGabcpp-1,L-arginine transport via ABC system (periplasm),S0860(2) AND S0858(1) AND S0859(1) AND S0856(1) AND S0857(1),,
CPLX_ASCBptspp-0,L-ascorbate transport via PEP:Pyr PTS (periplasm),S2616(1) AND S2617(2) AND S4618(2) AND S4619(1) AND S4620(1),,
CPLX_CBPS-0,Carbamoyl-phosphate synthase (glutamine-hydrolysing),S0031(2) AND S0032(2),,
CPLX_ASPCT-0,Aspartate carbamoyltransferase,S4507(6) AND S4508(6),,
CPLX_ASPabcpp-0,L-aspartate transport via ABC system (periplasm),S0648() AND S0649() AND S0650() AND S0651(),,
CPLX_ASR-0,Arsenate reductase,S1148() AND S4234(),,
CPLX_CHLabcpp-0,Choline transport via ABC system (periplasm),S2342(1) AND S2344(1) AND S2345(1) AND S2343(2),,
CPLX_ATPS4rpp-0,ATP synthase (four protons for one ATP) (periplasm),S3952() AND S3957() AND S3953() AND S3949() AND S3954() AND S3955() AND S3950() AND S3951() AND S3956(),,
CPLX_ATPS4rpp-1,ATP synthase (four protons for one ATP) (periplasm),S3955(1) AND S3950(1) AND S3956(3) AND S3952(2) AND S3957(1) AND S3953(1) AND S3951(10) AND S3954(3),,
CPLX_CITL-0,Citrate lyase,S0539() AND S0540() AND S0541() AND S0538(),,
CPLX_CMtpp-0,Chloramphenicol transport via TolC system,S0415() AND S2663() AND S3280(),,
CPLX_BUTSO3abcpp-0,Butanesulfonate transport via ABC system (periplasm),S1000() AND S0994(),,
CPLX_BUTSO3abcpp-1,Butanesulfonate transport via ABC system (periplasm),S0274(1) AND S0273(2) AND S0272(2),,
CPLX_CYSabc2pp-0,L-cysteine export via ABC system (cytoplasm to periplasm),S0887(2) AND S0886(2),,
CPLX_DHAPT-0,Dihydroxyacetone phosphotransferase,S1287() AND S1286() AND S1285() AND S2616() AND S2617(),,
CPLX_CYTBD2pp-0,Cytochrome oxidase bd (menaquinol-8: 2 protons) (periplasm),S1046(1) AND S1047(1),,
CPLX_CYTBDpp-0,Cytochrome oxidase bd (ubiquinol-8: 2 protons) (periplasm),S0577(1) AND S0576(1),,
CPLX_DMSOR1-0,Dimethyl sulfoxide reductase (Menaquinol 8),S1742() AND S1743(),,
CPLX_DMSOR1pp-0,Dimethyl sulfoxide reductase (Menaquinol 8) (periplasm),S2003(1) AND S2004(1),,
CPLX_CPMPS-0,Cyclic pyranopterin monophosphate synthase,S0774() AND S0772(),,
CPLX_DSBAO1-0,DsbA protein reoxidation reaction (aerobic),S3816() AND S1262(),,
CPLX_DSBDR-0,DsbD reductase,S4557() AND S2817(),,
CPLX_DSBDR-1,DsbD reductase,S4557() AND S3905(),,
CPLX_CRNDabcpp-0,D-carnitine transport via ABC system (periplasm),S2892(2) AND S2891(2) AND S2893(1),,
CPLX_ECAP1pp-0,Enterobacterial common antigen polymerase (periplasm),S3901() AND S3892(),,
CPLX_FADRx2-0,FAD reductase,S2973(8) AND S2972(4),,
CPLX_FDH4pp-0,Formate dehydrogenase (quinone-8) (periplasm),S3780() AND S3779() AND S1884(),,
CPLX_FDH4pp-1,Formate dehydrogenase (quinone-8) (periplasm),S1883(3) AND S1884(3) AND S1882(3),,
CPLX_FE3DHBZSabcpp-0,"Ferric 2,3-dihydroxybenzoylserine transport via ABC system (periplasm)",S0512(1) AND S0509(1) AND S0510(1) AND S0508(2),,
CPLX_FE3DHBZStonex-0,"Ferric 2,3-dihydroxybenzoylserine transport via ton system (extracellular)",S1341() AND S3253() AND S3254(),,
CPLX_FRUptspp-0,D-fructose transport via PEP:Pyr PTS (periplasm),S2616(1) AND S2617(2) AND S2381(2) AND S2383(1),,
CPLX_FE3HOXtonex-0,Fe(III)hydroxamine transport via ton system (extracellular),S1341() AND S0145() AND S3253() AND S3254(),,
CPLX_G3PAT120-0,Glycerol-3-phosphate acyltransferase (C12:0),S1178() AND S3567(),,
CPLX_FEENTERtonex-0,Fe-enterobactin transport via ton system (extracellular),S1341() AND S3253() AND S0502() AND S3254(),,
CPLX_G3PD5-0,Glycerol-3-phosphate dehydrogenase (ubiquinone-8),S2456(1) AND S2457(1) AND S2458(1),,
CPLX_FLDR2-0,Flavodoxin reductase (NADPH),S0620() AND S3745(),,
CPLX_FLDR2-1,Flavodoxin reductase (NADPH),S3080() AND S3745(),,
CPLX_FRD2-0,Fumarate reductase,S4577(1) AND S4575(1) AND S4576(1) AND S4574(1),,
CPLX_GALTptspp-0,Galactitol transport via PEP:Pyr PTS (periplasm),S2616(1) AND S2617(2) AND S2281(1) AND S2280(2) AND S2282(1),,
CPLX_GALabcpp-0,D-galactose transport via ABC system (periplasm),S2364(1) AND S2362(2) AND S2363(2),,
CPLX_GTHRDabcpp-0,Reduced glutathione via ABC system (periplasm),S0824(1) AND S0823(1) AND S0822(2) AND S0825(1),,
CPLX_GLYCL-0,Glycine Cleavage System,S3089(1) AND S0115(2) AND S3090(1) AND S3088(2),,
CPLX_HISabcpp-0,L-histidine transport via ABC system (periplasm),S2520(1) AND S2519(1) AND S2518(1) AND S2517(2),,
CPLX_HXAND-0,Hypoxanthine dehydrogenase,S3070() AND S3068() AND S3069(),,
CPLX_HYD1pp-0,Hydrogenase (ubiquinone-8: 2 protons) (periplasm),S1042() AND S1040() AND S1041(),,
CPLX_HYD1pp-1,Hydrogenase (ubiquinone-8: 2 protons) (periplasm),S3242() AND S3243() AND S3244() AND S3245(),,
CPLX_Kt2pp-0,Potassium transport in via proton symport (periplasm),S3827() AND S1378() AND S3546(),,
CPLX_I2FE2SR-0,ISC [2Fe-2S] regeneration,S2749() AND S2748(),,
CPLX_I2FE2SS-0,ISC [2Fe-2S] Synthesis,S3876() AND S2749() AND S2748(),,
CPLX_L_LACD2-0,L-Lactate dehydrogenase (ubiquinone),S0280() AND S0281() AND S0279(),,
CPLX_I2FE2ST-0,ISC [2Fe-2S] Transfer,S2747() AND S2748(),,
CPLX_IG3PS-0,Imidazole-glycerol-3-phosphate synthase,S2208(1) AND S2206(1),,
CPLX_LEUabcpp-0,L-leucine transport via ABC system (periplasm),S4287(1) AND S4289(1) AND S4288(1) AND S4291(1) AND S4290(1),,
CPLX_IPPMIa-0,3-isopropylmalate dehydratase,S0068(1) AND S0069(1),,
CPLX_MCOATA-0,Malonyl-CoA-ACP transacylase,S1178() AND S1176(),,
CPLX_MECDPDH5-0,"2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase",S3080() AND S2733(),,
CPLX_MECDPDH5-1,"2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase",S0620() AND S2733(),,
CPLX_METDabcpp-0,D-methionine transport via ABC system (periplasm),S0190() AND S0191() AND S0192(2),,
CPLX_MALTptspp-0,Maltose transport via PEP:Pyr PTS (periplasm),S2616(1) AND S2618(1) AND S2617(2) AND S1778(2),,
CPLX_METSOXR1-0,L-methionine-S-oxide reductase,S4532() AND S2817(),,
CPLX_METSOXR1-1,L-methionine-S-oxide reductase,S4532() AND S3905(),,
CPLX_METSOXR2-0,L-methionine-R-sulfoxide reductase,S1560() AND S2817(),,
CPLX_METSOXR2-1,L-methionine-R-sulfoxide reductase,S1560() AND S3905(),,
CPLX_MANGLYCptspp-0,2-O-alpha-mannosyl-D-glycerate transport via PEP:Pyr PTS (periplasm),S2616(1) AND S0579(2) AND S2617(2),,
CPLX_MNLptspp-0,Mannitol transport via PEP:Pyr PTS (periplasm),S2616(1) AND S2617(2) AND S4135(2),,
CPLX_GLNabcpp-0,L-glutamine transport via ABC system (periplasm),S0802(2) AND S0804(1) AND S0803(2),,
CPLX_NADTRHD-0,NAD transhydrogenase,S1755(2) AND S1756(2),,
CPLX_MOADSUx-0,"MoaD sulfuration (nadh, assumed)",S2749() AND S0775(),,
CPLX_MOBDabcpp-0,Molybdate transport via ABC system (periplasm),S0548(2) AND S0547(2) AND S0549(1),,
CPLX_MOBDabcpp-1,Molybdate transport via ABC system (periplasm),S3752(1) AND S2623(2) AND S2624(1) AND S2625(1),,
