complex_id,name,genes,mod,replace
CPLX-tRNA-GLY-LIGASE,tRNA-Gly ligase,SGL_RS13565(2) AND SGL_RS14290(2),,
CPLX-tRNA-PHE-LIGASE,tRNA-Phe ligase,SGL_RS11275(2) AND SGL_RS14135(2),,
CPLX_MPML-0,Mg-protoporphyrin IX magnesium-lyase,SGL_RS04915() AND SGL_RS04275() AND SGL_RS02940(),,
CPLX_PCHR-0,Protochlorophyllide reductase iron-sulfur ATP-binding protein,SGL_RS17655() AND SGL_RS17660() AND SGL_RS13030(),,
CPLX_RBPC_1-0,Ribulose-bisphosphate carboxylase (carboxysome),SGL_RS13415() AND SGL_RS13425(),,
CPLX_CupAS-0,Carbonic anhydrase CupAS complex,SGL_RS06285() AND SGL_RS06280(),,
CPLX_NDH1-D1F1-0,"NADH dehydrogenase, isoform D1F1 (thylakoid)",SGL_RS06280() AND SGL_RS09760() AND SGL_RS09755() AND SGL_RS09745() AND SGL_RS10735() AND SGL_RS06295() AND SGL_RS16995() AND SGL_RS16590() AND SGL_RS09885() AND SGL_RS15190() AND SGL_RS02610() AND SGL_RS06290() AND SGL_RS06285() AND SGL_RS16985() AND SGL_RS17000() AND SGL_RS03225() AND SGL_RS12625() AND SGL_RS16990() AND SGL_RS16595() AND SGL_RS10725() AND SGL_RS08920() AND SGL_RS10730() AND SGL_RS11490() AND SGL_RS09990() AND SGL_RS05355() AND SGL_RS05365() AND SGL_RS03305(),,
CPLX_CBFCpa-0,Cytochrome b6/f complex (periplasm),SGL_RS05875() AND SGL_RS07315() AND SGL_RS13200() AND SGL_RS10620() AND SGL_RS07320() AND SGL_RS18155() AND SGL_RS13205() AND SGL_RS13610() AND SGL_RS10475() AND SGL_RS16365() AND SGL_RS05245() AND SGL_RS05250() AND SGL_RS05240() AND SGL_RS05235() AND SGL_RS05230() AND SGL_RS07605() AND SGL_RS17600() AND SGL_RS04660() AND SGL_RS08580() AND SGL_RS08585() AND SGL_RS08590() AND SGL_RS03465() AND SGL_RS12650() AND SGL_RS17175(),,
CPLX_CYO1b_syn_1-0,Cytochrome c oxidase (thylakoid),SGL_RS05545() AND SGL_RS09865() AND SGL_RS05550(),,
CPLX_CYO1b_syn_1-1,Cytochrome c oxidase (thylakoid),SGL_RS05545() AND SGL_RS09865() AND SGL_RS09080(),,
CPLX_CYO1b_syn_1-2,Cytochrome c oxidase (thylakoid),SGL_RS05545() AND SGL_RS05540() AND SGL_RS05550(),,
CPLX_CYO1b_syn_1-3,Cytochrome c oxidase (thylakoid),SGL_RS05545() AND SGL_RS05540() AND SGL_RS09080(),,
CPLX_CYO1b_syn_1-4,Cytochrome c oxidase (thylakoid),SGL_RS09075() AND SGL_RS09865() AND SGL_RS05550(),,
CPLX_CYO1b_syn_1-5,Cytochrome c oxidase (thylakoid),SGL_RS09075() AND SGL_RS09865() AND SGL_RS09080(),,
CPLX_CYO1b_syn_1-6,Cytochrome c oxidase (thylakoid),SGL_RS09075() AND SGL_RS05540() AND SGL_RS05550(),,
CPLX_CYO1b_syn_1-7,Cytochrome c oxidase (thylakoid),SGL_RS09075() AND SGL_RS05540() AND SGL_RS09080(),,
CPLX_PSIa-0,Photosystem I,SGL_RS02560() AND SGL_RS17240() AND SGL_RS03975() AND SGL_RS09810() AND SGL_RS12695() AND SGL_RS02435() AND SGL_RS09960() AND SGL_RS17820() AND SGL_RS06305() AND SGL_RS06310() AND SGL_RS09805() AND SGL_RS17825() AND SGL_RS04090() AND SGL_RS12620() AND SGL_RS11240() AND SGL_RS06050(),,
CPLX_PSIa-1,Photosystem I,SGL_RS02560() AND SGL_RS02600() AND SGL_RS03975() AND SGL_RS09810() AND SGL_RS12695() AND SGL_RS02435() AND SGL_RS09960() AND SGL_RS17820() AND SGL_RS06305() AND SGL_RS06310() AND SGL_RS09805() AND SGL_RS17825() AND SGL_RS04090() AND SGL_RS12620() AND SGL_RS11240() AND SGL_RS06050(),,
CPLX_PSIIa-0,PSII light harvest and electron transfer,SGL_RS11935() AND SGL_RS11735() AND SGL_RS08205() AND SGL_RS08200() AND SGL_RS03265() AND SGL_RS02070() AND SGL_RS09330() AND SGL_RS10440() AND SGL_RS14825() AND SGL_RS16825() AND SGL_RS18130() AND SGL_RS01910() AND SGL_RS11645() AND SGL_RS08090() AND SGL_RS04525() AND SGL_RS12880() AND SGL_RS14050() AND SGL_RS04440() AND SGL_RS07800() AND SGL_RS13125() AND SGL_RS04535() AND SGL_RS04540() AND SGL_RS04545() AND SGL_RS07325() AND SGL_RS04530() AND SGL_RS02645() AND SGL_RS02635(),,
CPLX_SOPSI-0,Superoxide generation at PSI,SGL_RS02560() AND SGL_RS17240() AND SGL_RS03975() AND SGL_RS09810() AND SGL_RS12695() AND SGL_RS02435() AND SGL_RS09960() AND SGL_RS17820() AND SGL_RS06305() AND SGL_RS06310() AND SGL_RS09805() AND SGL_RS17825() AND SGL_RS04090() AND SGL_RS12620() AND SGL_RS11240(),,
CPLX_SOPSI-1,Superoxide generation at PSI,SGL_RS02560() AND SGL_RS02600() AND SGL_RS03975() AND SGL_RS09810() AND SGL_RS12695() AND SGL_RS02435() AND SGL_RS09960() AND SGL_RS17820() AND SGL_RS06305() AND SGL_RS06310() AND SGL_RS09805() AND SGL_RS17825() AND SGL_RS04090() AND SGL_RS12620() AND SGL_RS11240(),,
CPLX_SUCDi-0,Succinate dehydrogenase (irreversible),SGL_RS06730() AND SGL_RS15205() AND SGL_RS08045(),,
CPLX_ALAabcpp-0,L-alanine transport via ABC system (periplasm),SGL_RS14915() AND SGL_RS12165() AND SGL_RS11390() AND SGL_RS14000() AND SGL_RS07665(),,
CPLX_ARGabcpp-0,L-arginine transport via ABC system (periplasm),SGL_RS07090() AND SGL_RS08035(),,
