,name,genes,source
S0001-MONOMER,thr operon leader peptide,S0001(),GenBank
S0002-MONOMER,"aspartokinase I, homoserine dehydrogenase I",S0002(4),GenBank
S0003-MONOMER,homoserine kinase,S0003(2),GenBank
S0004-MONOMER,threonine synthase,S0004(1),GenBank
S0005-MONOMER,hypothetical protein,S0005(),GenBank
S0006-MONOMER,hypothetical protein,S0006(),GenBank
S0008-MONOMER,transaldolase B,S0008(2),GenBank
S0009-MONOMER,molybdopterin biosynthesis protein,S0009(1),GenBank
S0010-MONOMER,hypothetical protein,S0010(),GenBank
S0012-MONOMER,putative oxidoreductase,S0012(),GenBank
S0011-MONOMER,positive regulator for sigma 32 heat shock promoters,S0011(),GenBank
S0013-MONOMER,hypothetical protein,S0013(),GenBank
S0014-MONOMER,chaperone Hsp70; autoregulated heat shock protein,S0014(1),GenBank
S0015-MONOMER,chaperone with DnaK; heat shock protein,S0015(2),GenBank
S0017-MONOMER,membrane toxin,S0017(),GenBank
S0018-MONOMER,Na+/H+ antiporter,S0018(2),GenBank
S0019-MONOMER,transcriptional activator of nhaA,S0019(),GenBank
S0020-MONOMER,IS1 orfB,S0020(),GenBank
S0021-MONOMER,IS1 orfA,S0021(),GenBank
S0022-MONOMER,30S ribosomal subunit protein S20,S0022(1),GenBank
S0023-MONOMER,hypothetical protein,S0023(),GenBank
S0024-MONOMER,putative regulator,S0024(1),GenBank
S0025-MONOMER,isoleucine tRNA synthetase,S0025(1),GenBank
S0026-MONOMER,prolipoprotein signal peptidase (SPase II),S0026(1),GenBank
S0027-MONOMER,probable FKBX-type 16kD peptidyl-prolyl cis-trans isomerase (a rotamase),S0027(),GenBank
S0028-MONOMER,LytB protein,S0028(2),GenBank
S0029-MONOMER,hypothetical protein,S0029(1),GenBank
S0030-MONOMER,dihydrodipicolinate reductase,S0030(4),GenBank
S0031-MONOMER,"carbamoyl-phosphate synthetase, glutamine (small) subunit",S0031(),GenBank
S0032-MONOMER,carbamoyl-phosphate synthase large subunit,S0032(),GenBank
S0033-MONOMER,transcriptional regulator of cai operon,S0033(),GenBank
S0034-MONOMER,carnitine operon protein CaiE,S0034(),GenBank
S0035-MONOMER,carnitine racemase,S0035(1),GenBank
S0036-MONOMER,probable crotonobetaine/carnitine-CoA ligase,S0036(1),GenBank
S0037-MONOMER,l-carnitine dehydratase,S0037(2),GenBank
S0038-MONOMER,probable carnitine operon oxidoreductase,S0038(),GenBank
S0039-MONOMER,probable carnitine transporter,S0039(3),GenBank
S0040-MONOMER,probable flavoprotein subunit,S0040(),GenBank
S0042-MONOMER,flavoprotein,S0042(),GenBank
S0043-MONOMER,putative ferredoxin,S0043(),GenBank
S0044-MONOMER,putative transport protein,S0044(),GenBank
S0045-MONOMER,putative NAD(P)H oxidoreductase,S0045(),GenBank
S0046-MONOMER,K+ efflux antiporter,S0046(2),GenBank
S0047-MONOMER,dihydrofolate reductase type I,S0047(1),GenBank
S0048-MONOMER,diadenosine tetraphosphatase,S0048(1),GenBank
S0049-MONOMER,hypothetical protein,S0049(),GenBank
S0050-MONOMER,"S-adenosylmethionine-6-N,N-adenosyl (rRNA) dimethyltransferase",S0050(1),GenBank
S0051-MONOMER,pyridoxal phosphate biosynthetic protein PdxA,S0051(2),GenBank
S0052-MONOMER,survival protein,S0052(1),GenBank
S0053-MONOMER,organic solvent tolerance protein,S0053(),GenBank
S0054-MONOMER,putative DNA-binding protein,S0054(),GenBank
S0055-MONOMER,hypothetical protein,S0055(1),GenBank
S0056-MONOMER,probable ATP-dependent RNA helicase,S0056(),GenBank
S0057-MONOMER,DNA polymerase II,S0057(),GenBank
S0058-MONOMER,L-ribulose-5-phosphate 4-epimerase,S0058(4),GenBank
S0059-MONOMER,L-arabinose isomerase,S0059(6),GenBank
S0060-MONOMER,L-ribulokinase,S0060(2),GenBank
S0061-MONOMER,transcriptional regulator for ara operon,S0061(),GenBank
S0062-MONOMER,hypothetical protein,S0062(),GenBank
S0063-MONOMER,putative ATP-binding component of a transport system,S0063(),GenBank
S0064-MONOMER,putative transport system permease protein,S0064(),GenBank
S0065-MONOMER,thiamin-binding periplasmic protein,S0065(),GenBank
S0066-MONOMER,putative transport protein,S0066(),GenBank
S0067-MONOMER,putative transport protein,S0067(1),GenBank
S0068-MONOMER,isopropylmalate isomerase subunit,S0068(),GenBank
S0069-MONOMER,3-isopropylmalate isomerase (dehydratase) subunit,S0069(),GenBank
S0070-MONOMER,3-isopropylmalate dehydrogenase,S0070(2),GenBank
S0071-MONOMER,2-isopropylmalate synthase,S0071(1),GenBank
S0072-MONOMER,leu operon leader peptide,S0072(),GenBank
