,name,genes,source
ABAYE_RS04170-MONOMER,hypothetical protein,ABAYE_RS04170(),BioCyc
ABAYE_RS09850-MONOMER,aspartate ammonia-lyase,ABAYE_RS09850(4),BioCyc
ABAYE_RS15230-MONOMER,NADH-quinone oxidoreductase subunit NuoG,ABAYE_RS15230(),BioCyc
ABAYE_RS11395-MONOMER,hypothetical protein,ABAYE_RS11395(),BioCyc
ABAYE_RS17075-MONOMER,pesticidal protein Cry5Aa,ABAYE_RS17075(),BioCyc
ABAYE_RS14385-MONOMER,hypothetical protein,ABAYE_RS14385(),BioCyc
ABAYE_RS19265-MONOMER,hypoxanthine phosphoribosyltransferase,ABAYE_RS19265(4),BioCyc
ABAYE_RS13700-MONOMER,hypothetical protein,ABAYE_RS13700(),BioCyc
ABAYE_RS01300-MONOMER,cell division protein FtsZ,ABAYE_RS01300(),BioCyc
ABAYE_RS03315-MONOMER,oxidoreductase,ABAYE_RS03315(),BioCyc
ABAYE_RS01785-MONOMER,imidazoleglycerol-phosphate dehydratase HisB,ABAYE_RS01785(2),BioCyc
ABAYE_RS16080-MONOMER,tRNA threonylcarbamoyladenosine dehydratase,ABAYE_RS16080(),BioCyc
ABAYE_RS16330-MONOMER,acetate kinase,ABAYE_RS16330(1),BioCyc
ABAYE_RS16200-MONOMER,rhodanese-like domain-containing protein,ABAYE_RS16200(),BioCyc
ABAYE_RS09030-MONOMER,metal-dependent hydrolase,ABAYE_RS09030(),BioCyc
ABAYE_RS13930-MONOMER,sulfate adenylyltransferase subunit CysN,ABAYE_RS13930(),BioCyc
ABAYE_RS18505-MONOMER,metal ABC transporter ATP-binding protein,ABAYE_RS18505(),BioCyc
ABAYE_RS19480-MONOMER,hypothetical protein,ABAYE_RS19480(),BioCyc
ABAYE_RS05145-MONOMER,sulfate ABC transporter permease subunit CysW,ABAYE_RS05145(),BioCyc
ABAYE_RS15725-MONOMER,acetyl-CoA carboxylase carboxyl transferase subunit alpha,ABAYE_RS15725(),BioCyc
ABAYE_RS17940-MONOMER,sulfonamide-resistant dihydropteroate synthase Sul1,ABAYE_RS17940(),BioCyc
ABAYE_RS12045-MONOMER,DUF333 domain-containing protein,ABAYE_RS12045(),BioCyc
ABAYE_RS11720-MONOMER,TIGR03364 family FAD-dependent oxidoreductase,ABAYE_RS11720(),BioCyc
ABAYE_RS10340-MONOMER,Fe-S cluster assembly scaffold IscU,ABAYE_RS10340(2),BioCyc
ABAYE_RS16590-MONOMER,hypothetical protein,ABAYE_RS16590(),BioCyc
ABAYE_RS01020-MONOMER,"bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II",ABAYE_RS01020(),BioCyc
ABAYE_RS08145-MONOMER,hypothetical protein,ABAYE_RS08145(),BioCyc
ABAYE_RS19930-MONOMER,DUF3330 domain-containing protein,ABAYE_RS19930(),BioCyc
ABAYE_RS03895-MONOMER,hybrid sensor histidine kinase/response regulator,ABAYE_RS03895(),BioCyc
CPLX1SOZ-43,predicted ABC transporter of taurine,ABAYE_RS11230(1) AND ABAYE_RS11225(2) AND ABAYE_RS11220(2),BioCyc
ABAYE_RS13750-MONOMER,ATPase AAA,ABAYE_RS13750(),BioCyc
ABAYE_RS07690-MONOMER,transcriptional regulator,ABAYE_RS07690(),BioCyc
ABAYE_RS11780-MONOMER,allantoin permease,ABAYE_RS11780(),BioCyc
ABAYE_RS13005-MONOMER,alanine--tRNA ligase,ABAYE_RS13005(4),BioCyc
ABAYE_RS03370-MONOMER,tail protein,ABAYE_RS03370(),BioCyc
ABAYE_RS07570-MONOMER,MFS transporter,ABAYE_RS07570(),BioCyc
ABAYE_RS15905-MONOMER,ribosome silencing factor,ABAYE_RS15905(),BioCyc
ABAYE_RS20035-MONOMER,DUF3363 domain-containing protein,ABAYE_RS20035(),BioCyc
ABAYE_RS19040-MONOMER,sulfonate ABC transporter substrate-binding protein,ABAYE_RS19040(),BioCyc
ABAYE_RS14810-MONOMER,outer membrane protein assembly factor BamD,ABAYE_RS14810(),BioCyc
ABAYE_RS16110-MONOMER,hypothetical protein,ABAYE_RS16110(),BioCyc
ABAYE_RS17955-MONOMER,IS91 family transposase,ABAYE_RS17955(),BioCyc
ABAYE_RS13810-MONOMER,NADP-specific glutamate dehydrogenase,ABAYE_RS13810(6),BioCyc
ABAYE_RS17450-MONOMER,uroporphyrinogen-III synthase,ABAYE_RS17450(),BioCyc
ABAYE_RS06520-MONOMER,sulfurtransferase TusA family protein,ABAYE_RS06520(),BioCyc
ABAYE_RS09865-MONOMER,DUF971 domain-containing protein,ABAYE_RS09865(),BioCyc
ABAYE_RS13095-MONOMER,AraC family transcriptional regulator,ABAYE_RS13095(),BioCyc
ABAYE_RS11840-MONOMER,CoA transferase,ABAYE_RS11840(),BioCyc
ABAYE_RS11190-MONOMER,hydrolase,ABAYE_RS11190(),BioCyc
ABAYE_RS14020-MONOMER,alpha/beta hydrolase,ABAYE_RS14020(),BioCyc
ABAYE_RS02235-MONOMER,AI-2E family transporter,ABAYE_RS02235(),BioCyc
ABAYE_RS08850-MONOMER,KR domain-containing protein,ABAYE_RS08850(),BioCyc
ABAYE_RS19770-MONOMER,hypothetical protein,ABAYE_RS19770(),BioCyc
ABAYE_RS14160-MONOMER,short chain dehydrogenase,ABAYE_RS14160(),BioCyc
ABAYE_RS08705-MONOMER,"3-carboxy-cis,cis-muconate cycloisomerase",ABAYE_RS08705(),BioCyc
ABAYE_RS06045-MONOMER,aminopeptidase N,ABAYE_RS06045(),BioCyc
ABAYE_RS03515-MONOMER,hypothetical protein,ABAYE_RS03515(),BioCyc
ABAYE_RS16215-MONOMER,ACP synthase,ABAYE_RS16215(),BioCyc
ABAYE_RS16710-MONOMER,LysR family transcriptional regulator,ABAYE_RS16710(),BioCyc
ABAYE_RS19645-MONOMER,hypothetical protein,ABAYE_RS19645(),BioCyc
ABAYE_RS10755-MONOMER,trifunctional transcriptional regulator/proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase,ABAYE_RS10755(2),BioCyc
ABAYE_RS03130-MONOMER,sulfurtransferase,ABAYE_RS03130(),BioCyc
ABAYE_RS08665-MONOMER,2-dehydro-3-deoxyphosphooctonate aldolase,ABAYE_RS08665(4),BioCyc
ABAYE_RS07280-MONOMER,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,ABAYE_RS07280(2),BioCyc
ABAYE_RS00995-MONOMER,bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase,ABAYE_RS00995(3),BioCyc
ABAYE_RS11750-MONOMER,HTH domain-containing protein,ABAYE_RS11750(),BioCyc
ABAYE_RS12325-MONOMER,hypothetical protein,ABAYE_RS12325(),BioCyc
ABAYE_RS17375-MONOMER,elongation factor Tu,ABAYE_RS17375(1),BioCyc
ABAYE_RS14310-MONOMER,hypothetical protein,ABAYE_RS14310(),BioCyc
ABAYE_RS16470-MONOMER,prolipoprotein diacylglyceryl transferase,ABAYE_RS16470(1),BioCyc
ABAYE_RS18555-MONOMER,DUF3861 domain-containing protein,ABAYE_RS18555(),BioCyc
ABAYE_RS18295-MONOMER,DNA polymerase IV,ABAYE_RS18295(),BioCyc
ABAYE_RS10330-MONOMER,transcriptional regulator,ABAYE_RS10330(),BioCyc
ABAYE_RS10585-MONOMER,TetR/AcrR family transcriptional regulator,ABAYE_RS10585(),BioCyc
ABAYE_RS18640-MONOMER,outer membrane lipoprotein-sorting protein,ABAYE_RS18640(),BioCyc
ABAYE_RS05005-MONOMER,"fructose 1,6-bisphosphatase",ABAYE_RS05005(4),BioCyc
ABAYE_RS06175-MONOMER,lipoyl synthase,ABAYE_RS06175(2),BioCyc
ABAYE_RS06815-MONOMER,colicin V biosynthesis protein,ABAYE_RS06815(),BioCyc
ABAYE_RS18720-MONOMER,amino acid permease,ABAYE_RS18720(),BioCyc
ABAYE_RS04380-MONOMER,DUF493 domain-containing protein,ABAYE_RS04380(),BioCyc
ABAYE_RS01665-MONOMER,hypothetical protein,ABAYE_RS01665(),BioCyc
ABAYE_RS09215-MONOMER,dihydroxy-acid dehydratase,ABAYE_RS09215(),BioCyc
ABAYE_RS13455-MONOMER,hypothetical protein,ABAYE_RS13455(),BioCyc
ABAYE_RS02885-MONOMER,hypothetical protein,ABAYE_RS02885(),BioCyc
ABAYE_RS18165-MONOMER,arsenical resistance protein ArsH,ABAYE_RS18165(),BioCyc
ABAYE_RS02730-MONOMER,metal-binding protein,ABAYE_RS02730(),BioCyc
ABAYE_RS18845-MONOMER,transcriptional regulator LldR,ABAYE_RS18845(),BioCyc
ABAYE_RS07505-MONOMER,potassium-transporting ATPase subunit KdpC,ABAYE_RS07505(),BioCyc
ABAYE_RS03350-MONOMER,baseplate assembly protein,ABAYE_RS03350(),BioCyc
ABAYE_RS07220-MONOMER,dicarboxylate/amino acid:cation symporter,ABAYE_RS07220(),BioCyc
ABAYE_RS05730-MONOMER,cyclic diguanylate phosphodiesterase,ABAYE_RS05730(),BioCyc
ABAYE_RS14710-MONOMER,NAD+ synthase,ABAYE_RS14710(),BioCyc
ABAYE_RS06055-MONOMER,aminopeptidase P family protein,ABAYE_RS06055(),BioCyc
ABAYE_RS14670-MONOMER,elongation factor G,ABAYE_RS14670(1),BioCyc
ABAYE_RS11245-MONOMER,FMN-dependent monooxygenase,ABAYE_RS11245(),BioCyc
ABAYE_RS19275-MONOMER,thiol:disulfide interchange protein,ABAYE_RS19275(),BioCyc
ABAYE_RS03550-MONOMER,YdiU family protein,ABAYE_RS03550(),BioCyc
ABAYE_RS16940-MONOMER,primosomal protein N',ABAYE_RS16940(),BioCyc
ABAYE_RS03720-MONOMER,DUF934 domain-containing protein,ABAYE_RS03720(),BioCyc
ABAYE_RS08045-MONOMER,3-dehydroquinate dehydratase,ABAYE_RS08045(),BioCyc
ABAYE_RS03565-MONOMER,glycerophosphodiester phosphodiesterase,ABAYE_RS03565(1),BioCyc
ABAYE_RS01905-MONOMER,hypothetical protein,ABAYE_RS01905(),BioCyc
ABAYE_RS08020-MONOMER,hypothetical protein,ABAYE_RS08020(),BioCyc
ABAYE_RS02095-MONOMER,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,ABAYE_RS02095(2),BioCyc
ABAYE_RS07080-MONOMER,TetR/AcrR family transcriptional regulator,ABAYE_RS07080(),BioCyc
ABAYE_RS09430-MONOMER,hypothetical protein,ABAYE_RS09430(),BioCyc
ABAYE_RS07095-MONOMER,paraquat-inducible protein A,ABAYE_RS07095(),BioCyc
ABAYE_RS10915-MONOMER,cytosine permease,ABAYE_RS10915(),BioCyc
ABAYE_RS02520-MONOMER,YihA family ribosome biogenesis GTP-binding protein,ABAYE_RS02520(),BioCyc
ABAYE_RS07160-MONOMER,class I SAM-dependent methyltransferase,ABAYE_RS07160(),BioCyc
ABAYE_RS09050-MONOMER,antibiotic biosynthesis monooxygenase,ABAYE_RS09050(),BioCyc
ABAYE_RS01285-MONOMER,D-alanine--D-alanine ligase,ABAYE_RS01285(2),BioCyc
ABAYE_RS12520-MONOMER,KpsF/GutQ family sugar-phosphate isomerase,ABAYE_RS12520(4),BioCyc
ABAYE_RS18975-MONOMER,"phospholipase C, phosphocholine-specific",ABAYE_RS18975(),BioCyc
ABAYE_RS09575-MONOMER,molecular chaperone,ABAYE_RS09575(),BioCyc
