Modified_enzyme,Core_enzyme,Modifications,Source
hRNAP_mod_zn2(1)_mod_mg2(2),hRNAP,zn2(1) AND mg2(2),RNA_Polymerase
CPLX0-1762_mod_fad(1)_mod_2fe2s(1),CPLX0-1762,fad(1) AND 2fe2s(1),Homology
DTDPGLUCDEHYDRAT2-MONOMER_mod_nad(1),DTDPGLUCDEHYDRAT2-MONOMER,nad(1),Homology
CPLX0-7652_mod_mn2(1),CPLX0-7652,mn2(1),Homology
GABATRANSAM-CPLX_mod_pydx5p(1),GABATRANSAM-CPLX,pydx5p(1),Homology
DIHYDROOROTOX-MONOMER_mod_fmn(1),DIHYDROOROTOX-MONOMER,fmn(1),Homology
DSBD-MONOMER_mod_Oxidized(1),DSBD-MONOMER,Oxidized(1),Homology
NITRATREDUCTZ-CPLX_mod_bmocogdp(1)_mod_pheme(2)_mod_4fe4s(3)_mod_3fe4s(1),NITRATREDUCTZ-CPLX,bmocogdp(1) AND pheme(2) AND 4fe4s(3) AND 3fe4s(1),Homology
ALPHA-AMYL-PERI-MONOMER_mod_ca2(1),ALPHA-AMYL-PERI-MONOMER,ca2(1),Homology
PYRUVFORMLY-MONOMER_EG11784-MONOMER_mod_glycyl(1),PYRUVFORMLY-MONOMER_EG11784-MONOMER,glycyl(1),Homology
ISOCIT-LYASE_mod_mg2(1),ISOCIT-LYASE,mg2(1),Homology
ISOCIT-LYASE_mod_mn2(1),ISOCIT-LYASE,mn2(1),Homology
CPLX0-303_mod_mn2(1),CPLX0-303,mn2(1),Homology
G6425-MONOMER_mod_mg2(1),G6425-MONOMER,mg2(1),Homology
RumA_mono_mod_4fe4s(1),RumA_mono,4fe4s(1),Homology
DIOHBUTANONEPSYN-CPLX_mod_mg2(1),DIOHBUTANONEPSYN-CPLX,mg2(1),Homology
FPPSYN-MONOMER_mod_mg2(1),FPPSYN-MONOMER,mg2(1),Homology
FPPSYN-MONOMER_mod_mn2(1),FPPSYN-MONOMER,mn2(1),Homology
CPLX0-243_mod_mg2(1),CPLX0-243,mg2(1),Homology
UPPSYN-CPLX_mod_mg2(1),UPPSYN-CPLX,mg2(1),Homology
AROG-CPLX_mod_fe2(1),AROG-CPLX,fe2(1),Homology
PSERPHOSPHA-MONOMER_mod_mg2(1),PSERPHOSPHA-MONOMER,mg2(1),Homology
DAPASYN-CPLX_mod_pydx5p(1),DAPASYN-CPLX,pydx5p(1),Homology
CPLX0-3841_mod_mg2(1),CPLX0-3841,mg2(1),Homology
UDK-MONOMER_mod_mg2(1),UDK-MONOMER,mg2(1),Homology
Rnb_mono_mod_mg2(1),Rnb_mono,mg2(1),Homology
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER_mod_mg2(1),4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER,mg2(1),Homology
Ser_RS_dim_mod_mg2(1),Ser_RS_dim,mg2(1),Homology
