Proteins,Common-Name,"Genes of polypeptide, complex, or RNA",Locations
STM0171-MONOMER,carbonate dehydratase,STM0171,CCI-CYTOSOL-GN
STM4276-MONOMER,entericidin B precursor,STM4276,
STM3433-MONOMER,50S ribosomal protein L16,STM3433,CCI-RIBOSOME-GN
STM1969-MONOMER,flagellar M-ring protein,STM1969,CCI-PM-BAC-NEG-GN // CCO-CELL-PROJECTION
STM2345-MONOMER,LacI family transcriptional regulator,STM2345,
STM3800-MONOMER,LysR family transcriptional activator,STM3800,
STM3106-MONOMER,L-asparaginase II,STM3106,CCI-PERI-BAC-GN // CCI-CYTOSOL-GN
STM2730-MONOMER,Fels-2 prophage protein,STM2730,
STM1149-MONOMER,membrane protein,STM1149,CCI-PM-BAC-NEG-GN
STM0825-MONOMER,putative DnaK suppressor protein,STM0825,
STM3487-MONOMER,shikimate kinase I,STM3487,CCI-CYTOSOL-GN
STM1525-MONOMER,putative glutaminase,STM1525,
STM3855-MONOMER,phosphate ABC transporter permease,STM3855,CCI-PM-BAC-NEG-GN
STM1203-MONOMER,PTS glucose transporter subunit IIBC,STM1203,CCI-PM-BAC-NEG-GN
STM0102-MONOMER,L-arabinose isomerase,STM0102,CCI-CYTOSOL-GN
STM1579-MONOMER,nitrate reductase molybdenum cofactor assembly chaperone,STM1579,
STM0155-MONOMER,putative outer membrane protein,STM0155,
STM4207-MONOMER,baseplate protein,STM4207,
STM4260-MONOMER,cation transporter,STM4260,CCI-PM-BAC-NEG-GN
STM1953-MONOMER,D-cysteine desulfhydrase,STM1953,
STM4580-MONOMER,trifunctional nicotinamide-nucleotide adenylyltransferase/ribosylnicotinamide kinase/transcriptional regulator,STM4580,CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
STM2329-MONOMER,putative cytoplasmic protein,STM2329,
STM3090-MONOMER,methionine adenosyltransferase,STM3090,CCI-CYTOSOL-GN
STM1896-MONOMER,putative cytoplasmic protein,STM1896,
STM2713-MONOMER,Fels-2 prophage protein,STM2713,
STM0808-MONOMER,putative integral membrane protein,STM0808,CCO-MEMBRANE
STM0483-MONOMER,adenine phosphoribosyltransferase,STM0483,CCI-CYTOSOL-GN
STM3471-MONOMER,DUF2559 domain-containing protein,STM3471,
STM3838-MONOMER,chromosomal replication initiation protein,STM3838,CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
STM2276-MONOMER,2-octaprenyl-6-hydroxy phenol methylase,STM2276,
STM1187-MONOMER,23S rRNA pseudouridine(955/2504/2580) synthase,STM1187,
STM1563-MONOMER,OsmC family peroxiredoxin,STM1563,
STM3035-MONOMER,putative periplasmic protein,STM3035,
STM0139-MONOMER,cell division protein,STM0139,CCI-CYTOSOL-GN
STM4244-MONOMER,phage shock protein G,STM4244,CCO-MEMBRANE
STM2653-MONOMER,putative outer membrane lipoprotein,STM2653,
STM1934-MONOMER,putative outer membrane lipoprotein,STM1934,
STM0520-MONOMER,MFS transporter,STM0520,CCI-PM-BAC-NEG-GN
STM0747-MONOMER,cell envelope integrity protein,STM0747,CCO-MEMBRANE
STM2313-MONOMER,ribonuclease Z,STM2313,
STM3074-MONOMER,cobalt ABC transporter ATP-binding protein,STM3074,CCI-PM-BAC-NEG-GN
STM3417-MONOMER,30S ribosomal protein S11,STM3417,CCI-RIBOSOME-GN
STM2697-MONOMER,Fels-2 prophage protein,STM2697,CCO-MEMBRANE
STM0791-MONOMER,histidine ammonia-lyase,STM0791,CCI-CYTOSOL-GN
STM3787-MONOMER,hexose phosphate transporter,STM3787,CCI-PM-BAC-NEG-GN
STM3454-MONOMER,lysis protein,STM3454,
STM3822-MONOMER,trimethylamine N-oxide reductase I catalytic subunit,STM3822,CCI-PERI-BAC-GN
STM1132-MONOMER,putative sugar transport protein,STM1132,CCI-PM-BAC-NEG-GN
STM1170-MONOMER,putative virulence factor,STM1170,CCI-PM-BAC-NEG-GN
STM1546-MONOMER,putative monooxygenase,STM1546,
STM1509-MONOMER,selenoprotein,STM1509,
STM0123-MONOMER,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase",STM0123,CCI-CYTOSOL-GN
STM4228-MONOMER,maltose ABC transporter permease,STM4228,CCI-PM-BAC-NEG-GN
STM0086-MONOMER,glutathione-regulated potassium-efflux system protein,STM0086,CCI-PM-BAC-NEG-GN
STM1917-MONOMER,chemotaxis response regulator protein-glutamate methylesterase,STM1917,CCI-CYTOSOL-GN
STM0504-MONOMER,co-chaperone,STM0504,
STM4191-MONOMER,putative cytoplasmic protein,STM4191,
STM2297-MONOMER,putative DegT/DnrJ/EryC1/StrS family,STM2297,
STM3058-MONOMER,Xaa-Pro aminopeptidase,STM3058,CCI-CYTOSOL-GN
STM4564-MONOMER,metal-dependent hydrolase,STM4564,CCI-CYTOSOL-GN
STM2679-MONOMER,magnesium/cobalt efflux protein,STM2679,CCI-PM-BAC-NEG-GN
STM0774-MONOMER,galactokinase,STM0774,CCI-CYTOSOL-GN
STM1880-MONOMER,putative inner membrane protein,STM1880,CCO-MEMBRANE
STM3438-MONOMER,50S ribosomal protein L23,STM3438,CCI-RIBOSOME-GN
STM3805-MONOMER,putative inner membrane protein,STM3805,CCO-MEMBRANE
STM0466-MONOMER,putative methyltransferase,STM0466,
STM1154-MONOMER,multidrug resistance protein,STM1154,CCI-PM-BAC-NEG-GN
STM1530-MONOMER,phosphoporin,STM1530,CCI-OUTER-MEM-GN
STM2259-MONOMER,nitrate reductase catalytic subunit,STM2259,CCI-PERI-BAC-GN
STM0107-MONOMER,thiamine/thiamine pyrophosphate ABC transporter permease,STM0107,CCI-PM-BAC-NEG-GN
STM4212-MONOMER,phage major tail tube protein,STM4212,
STM3019-MONOMER,putative acetyl-CoA acetyltransferase,STM3019,
STM4585-MONOMER,phosphoglycerate mutase,STM4585,CCI-CYTOSOL-GN
STM1901-MONOMER,aspartate--tRNA ligase,STM1901,CCI-CYTOSOL-GN
STM2636-MONOMER,Gifsy-1 prophage protein,STM2636,
STM0488-MONOMER,adenylate kinase,STM0488,CCI-CYTOSOL-GN
STM2281-MONOMER,putative LysR family transcriptional regulator,STM2281,
STM0731-MONOMER,putative inner membrane protein,STM0731,CCO-MEMBRANE
STM3041-MONOMER,peptide chain release factor RF-2,STM3041,
STM2662-MONOMER,23S rRNA pseudouridine(1911/1915/1917) synthase,STM2662,
STM3401-MONOMER,shikimate dehydrogenase,STM3401,CCI-CYTOSOL-GN
STM0757-MONOMER,nicotinamide riboside transporter,STM0757,CCI-PM-BAC-NEG-GN
STM3422-MONOMER,50S ribosomal protein L30,STM3422,CCI-RIBOSOME-GN
STM3771-MONOMER,PTS sugar transporter subunit IIB,STM3771,CCI-CYTOSOL-GN
STM3792-MONOMER,L-fucose:H+ symporter permease,STM3792,CCI-PM-BAC-NEG-GN
STM1138-MONOMER,putative inner membrane protein,STM1138,
STM1115-MONOMER,disulfide bond formation protein,STM1115,
STM1514-MONOMER,competence protein,STM1514,
STM0091-MONOMER,4-hydroxythreonine-4-phosphate dehydrogenase,STM0091,CCI-CYTOSOL-GN
STM1493-MONOMER,glycine/betaine ABC transporter substrate-binding protein,STM1493,CCI-PM-BAC-NEG-GN // CCI-PERI-BAC-GN
STM4196-MONOMER,putative cytoplasmic protein,STM4196,
STM4569-MONOMER,phosphopentomutase,STM4569,CCI-CYTOSOL-GN
STM0070-MONOMER,carnitinyl-CoA dehydratase,STM0070,
STM1885-MONOMER,phosphogluconate dehydratase,STM1885,CCI-CYTOSOL-GN
STM0472-MONOMER,maltose O-acetyltransferase,STM0472,CCI-CYTOSOL-GN
STM4171-MONOMER,74% identity over 170 of 231 amino acids with E. coli hypothetical 26.3 kD protein in hupa-hydh intergenic region (Yjah) (SW:P32681),STM4171,
STM2264-MONOMER,alpha-ketoglutarate-dependent dioxygenase,STM2264,CCI-CYTOSOL-GN
STM3024-MONOMER,nickel/cobalt efflux protein,STM3024,CCI-PM-BAC-NEG-GN
STM4545-MONOMER,hypothetical protein,STM4545,CCI-PM-BAC-NEG-GN
STM2641-MONOMER,L-aspartate oxidase,STM2641,CCI-CYTOSOL-GN
STM0736-MONOMER,"2-oxoglutarate decarboxylase, thiamine requiring, subunit",STM0736,CCI-CYTOSOL-GN
STM1865-MONOMER,putative cytoplasmic protein,STM1865,
STM3406-MONOMER,peptide deformylase,STM3406,
STM3776-MONOMER,Purine ribonucleoside efflux pump,STM3776,CCI-PM-BAC-NEG-GN
STM0450-MONOMER,endopeptidase La,STM0450,CCI-CYTOSOL-GN
STM1121-MONOMER,stress-induced protein,STM1121,
STM1498-MONOMER,dimethyl sulfoxide reductase subunit A,STM1498,CCI-PERI-BAC-GN
STM2243-MONOMER,phage tail protein,STM2243,
STM0075-MONOMER,electron transfer flavoprotein,STM0075,
STM4176-MONOMER,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,STM4176,CCI-CYTOSOL-GN
