,name,genes,source
GMET_RS02735-MONOMER,GerMN domain-containing protein,Gmet_0548(),BioCyc
GMET_RS07365-MONOMER,HAMP domain-containing histidine kinase,Gmet_1463(),BioCyc
GMET_RS08300-MONOMER,TolC family protein,Gmet_1650(),BioCyc
GMET_RS00305-MONOMER,L-seryl-tRNA(Sec) selenium transferase,Gmet_0061(10),BioCyc
GMET_RS16480-MONOMER,cation acetate symporter,Gmet_3288(),BioCyc
GMET_RS04395-MONOMER,YcgN family cysteine cluster protein,Gmet_0877(),BioCyc
GMET_RS00310-MONOMER,GntR family transcriptional regulator,Gmet_0062(),BioCyc
GMET_RS15060-MONOMER,toll/interleukin-1 receptor domain-containing protein,Gmet_3004(),BioCyc
GMET_RS06145-MONOMER,response regulator,Gmet_1220(),BioCyc
CPLX2LZ9-39,benzylsuccinate synthase,Gmet_1538() AND Gmet_1539(),BioCyc
GMET_RS18645-MONOMER,hypothetical protein,Gmet_2985(),BioCyc
GMET_RS02740-MONOMER,homocysteine S-methyltransferase family protein,Gmet_0549(1),BioCyc
GMET_RS00315-MONOMER,potassium channel protein,Gmet_0063(4),BioCyc
GMET_RS12405-MONOMER,YchF/TatD family DNA exonuclease,Gmet_2464(),BioCyc
GMET_RS16700-MONOMER,hydrogenase small subunit,Gmet_3332(),BioCyc
GMET_RS03900-MONOMER,ATP-binding protein,Gmet_0779(),BioCyc
GMET_RS13815-MONOMER,hypothetical protein,Gmet_2756(),BioCyc
GMET_RS00320-MONOMER,sugar phosphate isomerase/epimerase,Gmet_0064(),BioCyc
GMET_RS15020-MONOMER,hypothetical protein,Gmet_2996(),BioCyc
GMET_RS03655-MONOMER,ADP-forming succinate--CoA ligase subunit beta,Gmet_0729(),BioCyc
CPLX2LZ9-38,DNA-directed RNA polymerase,Gmet_0653() AND Gmet_2326() AND Gmet_0619() AND Gmet_0620(),BioCyc
GMET_RS02745-MONOMER,hypothetical protein,Gmet_0550(),BioCyc
GMET_RS05900-MONOMER,cell division protein ZapB,Gmet_1177(),BioCyc
GMET_RS00325-MONOMER,cardiolipin synthase,Gmet_0065(1),BioCyc
GMET_RS07370-MONOMER,hypothetical protein,Gmet_1464(),BioCyc
