,name,genes,source
SGL_RS01870-MONOMER,site-specific integrase,SGL_RS01870(),BioCyc
SGL_RS09855-MONOMER,slipin family protein,SGL_RS09855(),BioCyc
SGL_RS03265-MONOMER,photosystem II complex extrinsic protein PsbU,SGL_RS03265(),BioCyc
SGL_RS04050-MONOMER,c-type cytochrome biogenesis protein CcsB,SGL_RS04050(),BioCyc
SGL_RS10720-MONOMER,threonine synthase,SGL_RS10720(),BioCyc
SGL_RS14490-MONOMER,hypothetical protein,SGL_RS14490(),BioCyc
SGL_RS14375-MONOMER,deoxyguanosinetriphosphate triphosphohydrolase,SGL_RS14375(4),BioCyc
SGL_RS16800-MONOMER,ornithine carbamoyltransferase,SGL_RS16800(3),BioCyc
SGL_RS10925-MONOMER,elongation factor Tu,SGL_RS10925(1),BioCyc
SGL_RS07130-MONOMER,hypothetical protein,SGL_RS07130(),BioCyc
SGL_RS05530-MONOMER,hypothetical protein,SGL_RS05530(),BioCyc
SGL_RS00015-MONOMER,DUF5615 family PIN-like protein,SGL_RS00015(),BioCyc
SGL_RS16325-MONOMER,RidA family protein,SGL_RS16325(),BioCyc
SGL_RS06980-MONOMER,tRNA epoxyqueuosine(34) reductase QueG,SGL_RS06980(1),BioCyc
SGL_RS16130-MONOMER,MSMEG_0570 family nitrogen starvation response protein,SGL_RS16130(),BioCyc
SGL_RS03325-MONOMER,DUF697 domain-containing protein,SGL_RS03325(),BioCyc
SGL_RS17140-MONOMER,sulfate ABC transporter substrate-binding protein,SGL_RS17140(),BioCyc
SGL_RS06875-MONOMER,DNA polymerase III subunit gamma/tau,SGL_RS06875(),BioCyc
SGL_RS09665-MONOMER,adenosylhomocysteinase,SGL_RS09665(),BioCyc
SGL_RS08320-MONOMER,ATP-binding protein,SGL_RS08320(),BioCyc
SGL_RS07785-MONOMER,hypothetical protein,SGL_RS07785(),BioCyc
SGL_RS16150-MONOMER,Nit6803 family nitriliase,SGL_RS16150(),BioCyc
SGL_RS15180-MONOMER,CCA tRNA nucleotidyltransferase,SGL_RS15180(),BioCyc
SGL_RS05850-MONOMER,50S ribosomal protein L3,SGL_RS05850(1),BioCyc
SGL_RS01275-MONOMER,DUF839 domain-containing protein,SGL_RS01275(),BioCyc
SGL_RS02115-MONOMER,GNAT family N-acetyltransferase,SGL_RS02115(),BioCyc
SGL_RS05940-MONOMER,30S ribosomal protein S20,SGL_RS05940(),BioCyc
SGL_RS10865-MONOMER,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,SGL_RS10865(),BioCyc
SGL_RS08220-MONOMER,phosphoribosylglycinamide formyltransferase 2,SGL_RS08220(1),BioCyc
SGL_RS00695-MONOMER,CRISPR-associated endoribonuclease Cas6,SGL_RS00695(),BioCyc
SGL_RS04390-MONOMER,DUF433 domain-containing protein,SGL_RS04390(),BioCyc
SGL_RS00940-MONOMER,hypothetical protein,SGL_RS00940(),BioCyc
SGL_RS00965-MONOMER,CRISPR-associated endonuclease Cas1,SGL_RS00965(),BioCyc
SGL_RS02925-MONOMER,hypothetical protein,SGL_RS02925(),BioCyc
SGL_RS06575-MONOMER,nitrate reductase,SGL_RS06575(),BioCyc
SGL_RS12605-MONOMER,NYN domain-containing protein,SGL_RS12605(),BioCyc
SGL_RS10395-MONOMER,hypothetical protein,SGL_RS10395(),BioCyc
SGL_RS15590-MONOMER,glucokinase,SGL_RS15590(1),BioCyc
SGL_RS16100-MONOMER,cadmium-translocating P-type ATPase,SGL_RS16100(1),BioCyc
SGL_RS16205-MONOMER,5-oxoprolinase,SGL_RS16205(),BioCyc
SGL_RS15470-MONOMER,IS5 family transposase,SGL_RS15470(),BioCyc
SGL_RS00165-MONOMER,DUF302 domain-containing protein,SGL_RS00165(),BioCyc
SGL_RS16730-MONOMER,C26 family cysteine hydrolase domain-containing family,SGL_RS16730(),BioCyc
SGL_RS03905-MONOMER,DUF928 domain-containing protein,SGL_RS03905(),BioCyc
SGL_RS00055-MONOMER,DUF4007 family protein,SGL_RS00055(),BioCyc
SGL_RS10130-MONOMER,delta(12)-fatty-acid desaturase,SGL_RS10130(),BioCyc
SGL_RS00990-MONOMER,"bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase",SGL_RS00990(),BioCyc
SGL_RS18120-MONOMER,5'/3'-nucleotidase SurE,SGL_RS18120(1),BioCyc
SGL_RS15030-MONOMER,acetate--CoA ligase,SGL_RS15030(1),BioCyc
SGL_RS14350-MONOMER,D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase,SGL_RS14350(1),BioCyc
SGL_RS16745-MONOMER,tetratricopeptide repeat protein,SGL_RS16745(),BioCyc
SGL_RS08880-MONOMER,K(+)-transporting ATPase subunit C,SGL_RS08880(),BioCyc
SGL_RS00080-MONOMER,DNA polymerase subunit beta,SGL_RS00080(),BioCyc
SGL_RS03815-MONOMER,hybrid sensor histidine kinase/response regulator,SGL_RS03815(),BioCyc
SGL_RS01050-MONOMER,type III-B CRISPR-associated protein Cas10/Cmr2,SGL_RS01050(),BioCyc
SGL_RS17385-MONOMER,2-hydroxyacid dehydrogenase,SGL_RS17385(1),BioCyc
SGL_RS07735-MONOMER,DUF1997 domain-containing protein,SGL_RS07735(),BioCyc
SGL_RS02210-MONOMER,DUF2442 domain-containing protein,SGL_RS02210(),BioCyc
SGL_RS18330-MONOMER,hypothetical protein,SGL_RS18330(),BioCyc
SGL_RS08770-MONOMER,nitroreductase family protein,SGL_RS08770(),BioCyc
SGL_RS12320-MONOMER,hypothetical protein,SGL_RS12320(),BioCyc
SGL_RS17275-MONOMER,DUF427 domain-containing protein,SGL_RS17275(),BioCyc
SGL_RS00320-MONOMER,helix-turn-helix transcriptional regulator,SGL_RS00320(),BioCyc
SGL_RS18135-MONOMER,isoprenylcysteine carboxylmethyltransferase family protein,SGL_RS18135(),BioCyc
SGL_RS06645-MONOMER,urease accessory protein UreE,SGL_RS06645(),BioCyc
SGL_RS02990-MONOMER,response regulator transcription factor,SGL_RS02990(),BioCyc
SGL_RS09740-MONOMER,NAD-reducing hydrogenase HoxS &delta; subunit,SGL_RS09740(),BioCyc
SGL_RS04340-MONOMER,type I glutamate--ammonia ligase,SGL_RS04340(12),BioCyc
SGL_RS13425-MONOMER,ribulose bisphosphate carboxylase small subunit,SGL_RS13425(),BioCyc
SGL_RS14620-MONOMER,heterodisulfide reductase,SGL_RS14620(),BioCyc
SGL_RS08290-MONOMER,dynamin-like GTPase family protein,SGL_RS08290(),BioCyc
SGL_RS09945-MONOMER,MoaD/ThiS family protein,SGL_RS09945(),BioCyc
SGL_RS10805-MONOMER,CTP synthase (glutamine hydrolyzing),SGL_RS10805(4),BioCyc
SGL_RS13985-MONOMER,hypothetical protein,SGL_RS13985(),BioCyc
SGL_RS01375-MONOMER,hypothetical protein,SGL_RS01375(),BioCyc
SGL_RS11010-MONOMER,type II toxin-antitoxin system VapC family toxin,SGL_RS11010(),BioCyc
SGL_RS11260-MONOMER,EAL domain-containing protein,SGL_RS11260(),BioCyc
SGL_RS12685-MONOMER,hypothetical protein,SGL_RS12685(),BioCyc
SGL_RS03155-MONOMER,"bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase",SGL_RS03155(),BioCyc
SGL_RS07260-MONOMER,hypothetical protein,SGL_RS07260(),BioCyc
SGL_RS01125-MONOMER,type I restriction endonuclease subunit R,SGL_RS01125(),BioCyc
SGL_RS16055-MONOMER,response regulator transcription factor,SGL_RS16055(),BioCyc
SGL_RS00600-MONOMER,hypothetical protein,SGL_RS00600(),BioCyc
SGL_RS04850-MONOMER,NAD-dependent epimerase/dehydratase family protein,SGL_RS04850(),BioCyc
SGL_RS09400-MONOMER,GTPase HflX,SGL_RS09400(),BioCyc
SGL_RS05510-MONOMER,PP2C family protein-serine/threonine phosphatase,SGL_RS05510(),BioCyc
SGL_RS11785-MONOMER,Uma2 family endonuclease,SGL_RS11785(),BioCyc
SGL_RS14565-MONOMER,SpoIID/LytB domain-containing protein,SGL_RS14565(),BioCyc
SGL_RS01900-MONOMER,GDP-L-fucose synthase,SGL_RS01900(2),BioCyc
SGL_RS07770-MONOMER,hydantoin utilization protein A,SGL_RS07770(),BioCyc
SGL_RS05970-MONOMER,DUF533 domain-containing protein,SGL_RS05970(),BioCyc
SGL_RS15290-MONOMER,6-carboxytetrahydropterin synthase QueD,SGL_RS15290(1),BioCyc
SGL_RS12525-MONOMER,glycogen synthase GlgA,SGL_RS12525(1),BioCyc
SGL_RS00865-MONOMER,hypothetical protein,SGL_RS00865(),BioCyc
SGL_RS13635-MONOMER,twin-arginine translocase subunit TatC,SGL_RS13635(),BioCyc
SGL_RS05485-MONOMER,"putative toxin-antitoxin system toxin component, PIN family",SGL_RS05485(),BioCyc
SGL_RS17555-MONOMER,biotin/lipoyl-binding protein,SGL_RS17555(),BioCyc
