complex,name,genes,source
HP_RS06460-MONOMER,50S ribosomal protein L14,HP1309(),BioCyc
HP_RS06445-MONOMER,30S ribosomal protein S14,HP1306(),BioCyc
HP_RS06430-MONOMER,50S ribosomal protein L18,HP1303(),BioCyc
HP_RS05895-MONOMER,50S ribosomal protein L10,HP1200(),BioCyc
HP_RS06510-MONOMER,50S ribosomal protein L3,HP1319(),BioCyc
HP_RS05880-MONOMER,30S ribosomal protein S12,HP1197(),BioCyc
HP_RS07685-MONOMER,30S ribosomal protein S2,HP1554(),BioCyc
HP_RS06495-MONOMER,50S ribosomal protein L2,HP1316(),BioCyc
HP_RS06400-MONOMER,50S ribosomal protein L36,HP1297(),BioCyc
HP_RS05110-MONOMER,30S ribosomal protein S15,HP1040(),BioCyc
HP_RS06480-MONOMER,30S ribosomal protein S3,HP1313(),BioCyc
HP_RS06385-MONOMER,30S ribosomal protein S4,HP1294(),BioCyc
HP_RS01460-MONOMER,50S ribosomal protein L21,HP0296(),BioCyc
HP_RS02715-MONOMER,50S ribosomal protein L31,HP0551(),BioCyc
HP_RS06465-MONOMER,30S ribosomal protein S17,HP1310(),BioCyc
HP_RS00420-MONOMER,30S ribosomal protein S9,HP0083(),BioCyc
HP_RS06450-MONOMER,50S ribosomal protein L5,HP1307(),BioCyc
HP_RS04215-MONOMER,50S ribosomal protein L22,HP0864(),BioCyc
HP_RS05900-MONOMER,50S ribosomal protein L1,HP1201(),BioCyc
HP_RS02765-MONOMER,30S ribosomal protein S21,HP0562(),BioCyc
HP_RS06515-MONOMER,30S ribosomal protein S10,HP1320(),BioCyc
HP_RS06435-MONOMER,50S ribosomal protein L6,HP1304(),BioCyc
HP_RS06420-MONOMER,50S ribosomal protein L15,HP1301(),BioCyc
HP_RS05635-MONOMER,50S ribosomal protein L19,HP1147(),BioCyc
HP_RS00975-MONOMER,50S ribosomal protein L32,HP0200(),BioCyc
HP_RS06500-MONOMER,50S ribosomal protein L23,HP1317(),BioCyc
HP_RS00390-MONOMER,30S ribosomal protein S20,HP0076(),BioCyc
HP_RS00630-MONOMER,50S ribosomal protein L35,HP0125(),BioCyc
HP_RS06485-MONOMER,50S ribosomal protein L22,HP1314(),BioCyc
HP_RS06390-MONOMER,30S ribosomal protein S11,HP1295(),BioCyc
HP_RS06145-MONOMER,30S ribosomal protein S6,HP1246(),BioCyc
HP_RS01465-MONOMER,50S ribosomal protein L27,HP0297(),BioCyc
HP_RS07165-MONOMER,50S ribosomal protein L34,HP1447(),BioCyc
HP_RS06470-MONOMER,50S ribosomal protein L29,HP1311(),BioCyc
HP_RS06375-MONOMER,50S ribosomal protein L17,HP1292(),BioCyc
HP_RS01965-MONOMER,30S ribosomal protein S1,HP0399(),BioCyc
HP_RS05925-MONOMER,50S ribosomal protein L33,HP1204(),BioCyc
HP_RS02535-MONOMER,50S ribosomal protein L9,HP0514(),BioCyc
HP_RS00425-MONOMER,50S ribosomal protein L13,HP0084(),BioCyc
HP_RS06455-MONOMER,50S ribosomal protein L24,HP1308(),BioCyc
CPLX2DNV-1126,50S ribosomal protein complex L8,HP1199() AND HP1200(),BioCyc
HP_RS05905-MONOMER,50S ribosomal protein L11,HP1202(),BioCyc
HP_RS05655-MONOMER,30S ribosomal protein S16,HP1151(),BioCyc
HP_RS02430-MONOMER,50S ribosomal protein L28,HP0491(),BioCyc
HP_RS06440-MONOMER,30S ribosomal protein S8,HP1305(),BioCyc
HP_RS06425-MONOMER,30S ribosomal protein S5,HP1302(),BioCyc
HP_RS05890-MONOMER,50S ribosomal protein L7/L12,HP1199(),BioCyc
HP_RS06505-MONOMER,50S ribosomal protein L4,HP1318(),BioCyc
HP_RS05875-MONOMER,30S ribosomal protein S7,HP1196(),BioCyc
HP_RS00635-MONOMER,50S ribosomal protein L20,HP0126(),BioCyc
HP_RS06490-MONOMER,30S ribosomal protein S19,HP1315(),BioCyc
HP_RS06395-MONOMER,30S ribosomal protein S13,HP1296(),BioCyc
HP_RS07410-MONOMER,50S ribosomal protein L25/general stress protein Ctc,HP1496(),BioCyc
HP_RS06475-MONOMER,50S ribosomal protein L16,HP1312(),BioCyc
HP_RS06135-MONOMER,30S ribosomal protein S18,HP1244(),BioCyc
