,name,genes,source
HP_RS07395-MONOMER,TPR_REGION domain-containing protein,HP1493(),BioCyc
HP_RS01295-MONOMER,inactive Type IIP restriction-modification system M protein,HP0263(),BioCyc
HP_RS03285-MONOMER,anaerobic glycerol-3-phosphate dehydrogenase,HP0666(),BioCyc
HP_RS05335-MONOMER,Hypothetical protein HP1085,HP1085(),BioCyc
HP_RS07315-MONOMER,Flagellar basal body P-ring biosynthesis protein FlgA,HP1477(),BioCyc
HP_RS01200-MONOMER,FlgR histidine kinase FlgS,HP0244(),BioCyc
HP_RS03205-MONOMER,Family 4 uracil-DNA glycosylase,HP0650(),BioCyc
HP_RS05255-MONOMER,Ribosomal protein L11 methyltransferase,HP1068(),BioCyc
HP_RS07235-MONOMER,cytochrome <i>c</i><sub>553</sub> peroxidase,HP1461(),BioCyc
HP_RS01110-MONOMER,outer membrane protein HopM,HP0227(),BioCyc
HP_RS03120-MONOMER,Quinone-reactive Ni/Fe hydrogenase HydC,HP0633(),BioCyc
HP_RS05170-MONOMER,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,HP1052(1),BioCyc
HP_RS07155-MONOMER,MotA/TolQ/ExbB family protein,HP1445(),BioCyc
HP_RS01030-MONOMER,Chaperone protein HtpG,HP0210(),BioCyc
HP_RS03040-MONOMER,Adenylate kinase,HP0618(1),BioCyc
HP_RS05090-MONOMER,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,HP1036(1),BioCyc
HP_RS07065-MONOMER,Ribosomal RNA large subunit methyltransferase N,HP1428(),BioCyc
HP_RS00935-MONOMER,fumarate reductase flavoprotein subunit FrdA,HP0192(),BioCyc
HP_RS02955-MONOMER,methyl-accepting chemotaxis protein TlpD,HP0599(),BioCyc
HP_RS05010-MONOMER,"Bifunctional 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase/2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",HP1020(3),BioCyc
HP_RS06980-MONOMER,Hypothetical protein HP1411,HP1411(),BioCyc
HP_RS00850-MONOMER,uncharacterized protein,HP0174(),BioCyc
HP_RS02870-MONOMER,flagellar biosynthesis protein FliO,HP0583(),BioCyc
HP_RS04895-MONOMER,Putative transposase TnpB,HP0997(),BioCyc
HP_RS06880-MONOMER,Fibronectin/fibrinogen-binding protein,HP1392(),BioCyc
HP_RS00770-MONOMER,AMIN domain-containing protein,HP0156(),BioCyc
HP_RS02790-MONOMER,autoinducer-2 exporter,HP0567(),BioCyc
HP_RS04800-MONOMER,Exodeoxyribonuclease VII large subunit,HP0981(),BioCyc
HP_RS06800-MONOMER,flagellar assembly protein FliW,HP1377(),BioCyc
HP_RS00685-MONOMER,putative NAD-dependent lactate dehydrogenase subunit HP0139,HP0139(),BioCyc
HP_RS02710-MONOMER,Transcription termination factor Rho,HP0550(6),BioCyc
HP_RS00280-MONOMER,proline:Na<sup>+</sup> symporter,HP0055(1),BioCyc
HP_RS04710-MONOMER,acyl carrier protein,HP_RS04710(),BioCyc
HP_RS06715-MONOMER,Predicted coding region HP1359,HP1359(),BioCyc
HP_RS00605-MONOMER,Histone-like DUF874 family protein HP0119,HP0119(),BioCyc
HP_RS02620-MONOMER,Cag T4SS protein CagT,HP0532(),BioCyc
HP_RS00195-MONOMER,PDZ domain-containing protein,HP0036(),BioCyc
HP_RS04630-MONOMER,"putative transporter, Na<sup>+</sup>:H<sup>+</sup> antiporter (NhaC) family",HP0946(),BioCyc
HP_RS06620-MONOMER,energy-transducing Ton complex subunit TonB,HP1341(),BioCyc
HP_RS00520-MONOMER,"<i>H. pylroi</i> LPS trisaccharide &beta;-(1,3)-fucosyltransferase",HP0102(),BioCyc
HP_RS02540-MONOMER,ATP-dependent protease subunit HslV,HP0515(),BioCyc
HP_RS00115-MONOMER,chemotaxis protein CheV1,HP0019(),BioCyc
HP_RS04515-MONOMER,tRNA pseudouridine synthase D,HP0926(1),BioCyc
HP_RS06540-MONOMER,Fumarate hydratase FumC,HP1325(4),BioCyc
HP_RS00430-MONOMER,Hypothetical protein HP0085,HP0085(),BioCyc
